chunk_id,source,text,citation_label,citation_url,age_group,fitness_factors,grade
criteria:009-유소년-F,criteria,"국민체력100 인증 기준 · 윗몸말아올리기(회) · 유소년 여자: 11~11세 1등급 36.0회, 2등급 26.0회, 3등급 18.0회 / 12~12세 1등급 35.0회, 2등급 27.0회, 3등급 19.0회",국민체력100 인증 기준 · 윗몸말아올리기,,,근지구력,
criteria:009-유소년-M,criteria,"국민체력100 인증 기준 · 윗몸말아올리기(회) · 유소년 남자: 11~11세 1등급 36.0회, 2등급 26.0회, 3등급 19.0회 / 12~12세 1등급 35.0회, 2등급 27.0회, 3등급 19.0회",국민체력100 인증 기준 · 윗몸말아올리기,,,근지구력,
criteria:009-유아기-F,criteria,"국민체력100 인증 기준 · 윗몸말아올리기(회) · 유아기 여자: 48~53개월 1등급 2.0회, 2등급 0.0회, 3등급 0.0회 / 54~59개월 1등급 5.0회, 2등급 1.0회, 3등급 0.0회 / 60~65개월 1등급 8.0회, 2등급 3.0회, 3등급 0.0회 / 66~71개월 1등급 10.0회, 2등급 6.0회, 3등급 2.0회 / 72~83개월 1등급 13.0회, 2등급 9.0회, 3등급 5.0회",국민체력100 인증 기준 · 윗몸말아올리기,,,근지구력,
criteria:009-유아기-M,criteria,"국민체력100 인증 기준 · 윗몸말아올리기(회) · 유아기 남자: 48~53개월 1등급 4.0회, 2등급 0.0회, 3등급 0.0회 / 54~59개월 1등급 5.0회, 2등급 1.0회, 3등급 0.0회 / 60~65개월 1등급 9.0회, 2등급 5.0회, 3등급 1.0회 / 66~71개월 1등급 9.0회, 2등급 5.0회, 3등급 1.0회 / 72~83개월 1등급 13.0회, 2등급 8.0회, 3등급 4.0회",국민체력100 인증 기준 · 윗몸말아올리기,,,근지구력,
criteria:009-청소년-F,criteria,"국민체력100 인증 기준 · 윗몸말아올리기(회) · 청소년 여자: 13~13세 1등급 48.0회, 2등급 37.0회, 3등급 25.0회 / 14~14세 1등급 47.0회, 2등급 36.0회, 3등급 24.0회 / 15~15세 1등급 48.0회, 2등급 36.0회, 3등급 23.0회 / 16~16세 1등급 41.0회, 2등급 30.0회, 3등급 19.0회 / 17~17세 1등급 41.0회, 2등급 29.0회, 3등급 18.0회 / 18~18세 1등급 41.0회, 2등급 29.0회, 3등급 16.0회",국민체력100 인증 기준 · 윗몸말아올리기,,,근지구력,
criteria:009-청소년-M,criteria,"국민체력100 인증 기준 · 윗몸말아올리기(회) · 청소년 남자: 13~13세 1등급 61.0회, 2등급 49.0회, 3등급 36.0회 / 14~14세 1등급 60.0회, 2등급 48.0회, 3등급 37.0회 / 15~15세 1등급 49.0회, 2등급 39.0회, 3등급 29.0회 / 16~16세 1등급 49.0회, 2등급 38.0회, 3등급 27.0회 / 17~17세 1등급 46.0회, 2등급 36.0회, 3등급 25.0회 / 18~18세 1등급 53.0회, 2등급 41.0회, 3등급 29.0회",국민체력100 인증 기준 · 윗몸말아올리기,,,근지구력,
criteria:010-청소년-F,criteria,"국민체력100 인증 기준 · 반복점프(회) · 청소년 여자: 13~13세 1등급 31.0회, 2등급 27.0회, 3등급 22.0회 / 14~14세 1등급 34.0회, 2등급 28.0회, 3등급 23.0회 / 15~15세 1등급 35.0회, 2등급 29.0회, 3등급 24.0회 / 16~16세 1등급 34.0회, 2등급 28.0회, 3등급 22.0회 / 17~17세 1등급 33.0회, 2등급 27.0회, 3등급 21.0회 / 18~18세 1등급 36.0회, 2등급 29.0회, 3등급 23.0회",국민체력100 인증 기준 · 반복점프,,,근지구력,
criteria:010-청소년-M,criteria,"국민체력100 인증 기준 · 반복점프(회) · 청소년 남자: 13~13세 1등급 44.0회, 2등급 39.0회, 3등급 33.0회 / 14~14세 1등급 48.0회, 2등급 42.0회, 3등급 36.0회 / 15~15세 1등급 50.0회, 2등급 44.0회, 3등급 38.0회 / 16~16세 1등급 50.0회, 2등급 45.0회, 3등급 39.0회 / 17~17세 1등급 50.0회, 2등급 44.0회, 3등급 38.0회 / 18~18세 1등급 52.0회, 2등급 46.0회, 3등급 40.0회",국민체력100 인증 기준 · 반복점프,,,근지구력,
criteria:012-성인-F,criteria,"국민체력100 인증 기준 · 앉아윗몸앞으로굽히기(cm) · 성인 여자: 19~24세 1등급 19.7cm, 2등급 14.9cm, 3등급 10.1cm / 25~29세 1등급 18.5cm, 2등급 13.8cm, 3등급 9.1cm / 30~34세 1등급 18.2cm, 2등급 13.8cm, 3등급 9.4cm / 35~39세 1등급 18.9cm, 2등급 14.5cm, 3등급 10.1cm / 40~44세 1등급 18.8cm, 2등급 14.6cm, 3등급 10.4cm / 45~49세 1등급 18.9cm, 2등급 14.8cm, 3등급 10.7cm / 50~54세 1등급 19.5cm, 2등급 15.6cm, 3등급 11.7cm / 55~59세 1등급 19.5cm, 2등급 15.7cm, 3등급 11.9cm / 60~64세 1등급 19.6cm, 2등급 15.7cm, 3등급 11.8cm",국민체력100 인증 기준 · 앉아윗몸앞으로굽히기,,,유연성,
criteria:012-성인-M,criteria,"국민체력100 인증 기준 · 앉아윗몸앞으로굽히기(cm) · 성인 남자: 19~24세 1등급 16.1cm, 2등급 11.1cm, 3등급 6.1cm / 25~29세 1등급 14.9cm, 2등급 10.1cm, 3등급 5.3cm / 30~34세 1등급 14.2cm, 2등급 9.4cm, 3등급 4.6cm / 35~39세 1등급 14.0cm, 2등급 9.3cm, 3등급 4.6cm / 40~44세 1등급 14.2cm, 2등급 9.5cm, 3등급 4.8cm / 45~49세 1등급 13.6cm, 2등급 9.1cm, 3등급 4.6cm / 50~54세 1등급 13.9cm, 2등급 9.3cm, 3등급 4.7cm / 55~59세 1등급 13.3cm, 2등급 8.6cm, 3등급 3.9cm / 60~64세 1등급 11.8cm, 2등급 7.1cm, 3등급 2.3cm",국민체력100 인증 기준 · 앉아윗몸앞으로굽히기,,,유연성,
