file,period,rows,acquired_at
KS_NFA_FTNESS_MESURE_MVN_PRSCRPTN_GNRLZ_INFO_202407.csv,202407,25078,2026-08-27
KS_NFA_FTNESS_MESURE_MVN_PRSCRPTN_GNRLZ_INFO_202408.csv,202408,20037,2026-08-27
KS_NFA_FTNESS_MESURE_MVN_PRSCRPTN_GNRLZ_INFO_202409.csv,202409,22622,2026-08-27
KS_NFA_FTNESS_MESURE_MVN_PRSCRPTN_GNRLZ_INFO_202410.csv,202410,23977,2026-08-27
KS_NFA_FTNESS_MESURE_MVN_PRSCRPTN_GNRLZ_INFO_202411.csv,202411,23839,2026-08-27
KS_NFA_FTNESS_MESURE_MVN_PRSCRPTN_GNRLZ_INFO_202412.csv,202412,15413,2026-08-27
KS_NFA_FTNESS_MESURE_MVN_PRSCRPTN_GNRLZ_INFO_202501.csv,202501,10397,2026-08-27
KS_NFA_FTNESS_MESURE_MVN_PRSCRPTN_GNRLZ_INFO_202502.csv,202502,13092,2026-08-27
KS_NFA_FTNESS_MESURE_MVN_PRSCRPTN_GNRLZ_INFO_202503.csv,202503,29413,2026-08-27
KS_NFA_FTNESS_MESURE_MVN_PRSCRPTN_GNRLZ_INFO_202504.csv,202504,58516,2026-08-27
KS_NFA_FTNESS_MESURE_MVN_PRSCRPTN_GNRLZ_INFO_202505.csv,202505,47283,2026-08-27
KS_NFA_FTNESS_MESURE_MVN_PRSCRPTN_GNRLZ_INFO_202506.csv,202506,36072,2026-08-27
KS_NFA_FTNESS_MESURE_MVN_PRSCRPTN_GNRLZ_INFO_202507.csv,202507,24971,2026-08-27
KS_NFA_FTNESS_MESURE_MVN_PRSCRPTN_GNRLZ_INFO_202508.csv,202508,18339,2026-08-27
KS_NFA_FTNESS_MESURE_MVN_PRSCRPTN_GNRLZ_INFO_202509.csv,202509,28721,2026-08-27
KS_NFA_FTNESS_MESURE_MVN_PRSCRPTN_GNRLZ_INFO_202510.csv,202510,20627,2026-08-27
KS_NFA_FTNESS_MESURE_MVN_PRSCRPTN_GNRLZ_INFO_202511.csv,202511,21513,2026-08-27
KS_NFA_FTNESS_MESURE_MVN_PRSCRPTN_GNRLZ_INFO_202512.csv,202512,16494,2026-08-27
KS_NFA_FTNESS_MESURE_MVN_PRSCRPTN_GNRLZ_INFO_202601.csv,202601,17647,2026-08-27
KS_NFA_FTNESS_MESURE_MVN_PRSCRPTN_GNRLZ_INFO_202602.csv,202602,16511,2026-08-27
KS_NFA_FTNESS_MESURE_MVN_PRSCRPTN_GNRLZ_INFO_202603 (1).csv,202603,950,2026-08-27
KS_NFA_FTNESS_MESURE_MVN_PRSCRPTN_GNRLZ_INFO_202604.csv,202604,61583,2026-08-27
KS_NFA_FTNESS_MESURE_MVN_PRSCRPTN_GNRLZ_INFO_202605.csv,202605,47251,2026-08-27
KS_NFA_FTNESS_MESURE_MVN_PRSCRPTN_GNRLZ_INFO_202606.csv,202606,40677,2026-08-27
KS_NFA_FTNESS_MESURE_MVN_PRSCRPTN_GNRLZ_INFO_202607.csv,202607,29523,2026-08-27
