age_group,age_lo,age_hi,age_unit,sex,grade,count,ratio,n_cell
청소년,13,13,세,M,1등급,381,0.0651,5857
청소년,13,13,세,M,2등급,556,0.0949,5857
청소년,13,13,세,M,3등급,948,0.1619,5857
청소년,13,13,세,M,4등급,1641,0.2802,5857
청소년,13,13,세,M,5등급,1506,0.2571,5857
청소년,13,13,세,M,6등급,825,0.1409,5857
청소년,13,13,세,M,참가,0,0.0,5857
청소년,13,13,세,F,1등급,176,0.036,4888
청소년,13,13,세,F,2등급,412,0.0843,4888
청소년,13,13,세,F,3등급,883,0.1806,4888
청소년,13,13,세,F,4등급,1492,0.3052,4888
청소년,13,13,세,F,5등급,1482,0.3032,4888
청소년,13,13,세,F,6등급,442,0.0904,4888
청소년,13,13,세,F,참가,1,0.0002,4888
청소년,14,14,세,M,1등급,329,0.0605,5437
청소년,14,14,세,M,2등급,585,0.1076,5437
청소년,14,14,세,M,3등급,787,0.1447,5437
청소년,14,14,세,M,4등급,1440,0.2649,5437
청소년,14,14,세,M,5등급,1474,0.2711,5437
청소년,14,14,세,M,6등급,818,0.1505,5437
청소년,14,14,세,M,참가,4,0.0007,5437
청소년,14,14,세,F,1등급,162,0.0366,4432
청소년,14,14,세,F,2등급,317,0.0715,4432
청소년,14,14,세,F,3등급,764,0.1724,4432
청소년,14,14,세,F,4등급,1362,0.3073,4432
청소년,14,14,세,F,5등급,1414,0.319,4432
청소년,14,14,세,F,6등급,411,0.0927,4432
청소년,14,14,세,F,참가,2,0.0005,4432
청소년,15,15,세,M,1등급,561,0.0658,8531
청소년,15,15,세,M,2등급,1044,0.1224,8531
청소년,15,15,세,M,3등급,1457,0.1708,8531
청소년,15,15,세,M,4등급,1929,0.2261,8531
청소년,15,15,세,M,5등급,2319,0.2718,8531
청소년,15,15,세,M,6등급,1218,0.1428,8531
청소년,15,15,세,M,참가,3,0.0004,8531
청소년,15,15,세,F,1등급,206,0.0306,6732
청소년,15,15,세,F,2등급,446,0.0663,6732
청소년,15,15,세,F,3등급,1176,0.1747,6732
청소년,15,15,세,F,4등급,2011,0.2987,6732
청소년,15,15,세,F,5등급,2240,0.3327,6732
청소년,15,15,세,F,6등급,644,0.0957,6732
청소년,15,15,세,F,참가,9,0.0013,6732
청소년,16,16,세,M,1등급,453,0.0459,9862
청소년,16,16,세,M,2등급,1151,0.1167,9862
청소년,16,16,세,M,3등급,1673,0.1696,9862
청소년,16,16,세,M,4등급,2319,0.2351,9862
청소년,16,16,세,M,5등급,2817,0.2856,9862
청소년,16,16,세,M,6등급,1431,0.1451,9862
청소년,16,16,세,M,참가,18,0.0018,9862
청소년,16,16,세,F,1등급,257,0.0353,7282
청소년,16,16,세,F,2등급,726,0.0997,7282
청소년,16,16,세,F,3등급,1296,0.178,7282
청소년,16,16,세,F,4등급,1744,0.2395,7282
청소년,16,16,세,F,5등급,2691,0.3695,7282
청소년,16,16,세,F,6등급,560,0.0769,7282
청소년,16,16,세,F,참가,8,0.0011,7282
청소년,17,17,세,M,1등급,768,0.0598,12834
청소년,17,17,세,M,2등급,1519,0.1184,12834
청소년,17,17,세,M,3등급,2317,0.1805,12834
청소년,17,17,세,M,4등급,2555,0.1991,12834
청소년,17,17,세,M,5등급,3708,0.2889,12834
청소년,17,17,세,M,6등급,1950,0.1519,12834
청소년,17,17,세,M,참가,17,0.0013,12834
청소년,17,17,세,F,1등급,345,0.044,7841
청소년,17,17,세,F,2등급,719,0.0917,7841
청소년,17,17,세,F,3등급,1528,0.1949,7841
청소년,17,17,세,F,4등급,1602,0.2043,7841
청소년,17,17,세,F,5등급,2842,0.3625,7841
청소년,17,17,세,F,6등급,802,0.1023,7841
청소년,17,17,세,F,참가,3,0.0004,7841
청소년,18,18,세,M,1등급,849,0.0617,13756
청소년,18,18,세,M,2등급,1828,0.1329,13756
청소년,18,18,세,M,3등급,3024,0.2198,13756
청소년,18,18,세,M,4등급,2983,0.2169,13756
청소년,18,18,세,M,5등급,3513,0.2554,13756
청소년,18,18,세,M,6등급,1542,0.1121,13756
청소년,18,18,세,M,참가,17,0.0012,13756
청소년,18,18,세,F,1등급,187,0.0372,5028
청소년,18,18,세,F,2등급,513,0.102,5028
청소년,18,18,세,F,3등급,1117,0.2222,5028
청소년,18,18,세,F,4등급,790,0.1571,5028
청소년,18,18,세,F,5등급,1807,0.3594,5028
청소년,18,18,세,F,6등급,612,0.1217,5028
청소년,18,18,세,F,참가,2,0.0004,5028
성인,19,24,세,M,1등급,1387,0.0404,34344
성인,19,24,세,M,2등급,4044,0.1177,34344
성인,19,24,세,M,3등급,7349,0.214,34344
성인,19,24,세,M,4등급,10253,0.2985,34344
성인,19,24,세,M,5등급,8257,0.2404,34344
성인,19,24,세,M,6등급,2961,0.0862,34344
성인,19,24,세,M,참가,93,0.0027,34344
성인,19,24,세,F,1등급,1481,0.0765,19356
성인,19,24,세,F,2등급,3056,0.1579,19356
성인,19,24,세,F,3등급,5541,0.2863,19356
성인,19,24,세,F,4등급,6156,0.318,19356
성인,19,24,세,F,5등급,2528,0.1306,19356
성인,19,24,세,F,6등급,533,0.0275,19356
성인,19,24,세,F,참가,61,0.0032,19356
성인,25,29,세,M,1등급,727,0.0478,15217
성인,25,29,세,M,2등급,2057,0.1352,15217
성인,25,29,세,M,3등급,3470,0.228,15217
성인,25,29,세,M,4등급,4680,0.3076,15217
성인,25,29,세,M,5등급,3068,0.2016,15217
성인,25,29,세,M,6등급,1193,0.0784,15217
성인,25,29,세,M,참가,22,0.0014,15217
성인,25,29,세,F,1등급,1366,0.1138,12008
성인,25,29,세,F,2등급,2434,0.2027,12008
성인,25,29,세,F,3등급,3352,0.2791,12008
성인,25,29,세,F,4등급,3281,0.2732,12008
성인,25,29,세,F,5등급,1213,0.101,12008
성인,25,29,세,F,6등급,339,0.0282,12008
성인,25,29,세,F,참가,23,0.0019,12008
성인,30,34,세,M,1등급,1069,0.0717,14919
성인,30,34,세,M,2등급,2479,0.1662,14919
성인,30,34,세,M,3등급,3142,0.2106,14919
성인,30,34,세,M,4등급,4226,0.2833,14919
성인,30,34,세,M,5등급,2940,0.1971,14919
성인,30,34,세,M,6등급,1047,0.0702,14919
성인,30,34,세,M,참가,16,0.0011,14919
성인,30,34,세,F,1등급,511,0.0884,5778
성인,30,34,세,F,2등급,991,0.1715,5778
성인,30,34,세,F,3등급,1379,0.2387,5778
성인,30,34,세,F,4등급,1447,0.2504,5778
성인,30,34,세,F,5등급,1096,0.1897,5778
성인,30,34,세,F,6등급,348,0.0602,5778
성인,30,34,세,F,참가,6,0.001,5778
성인,35,39,세,M,1등급,802,0.0827,9692
성인,35,39,세,M,2등급,1592,0.1643,9692
성인,35,39,세,M,3등급,1987,0.205,9692
성인,35,39,세,M,4등급,2834,0.2924,9692
성인,35,39,세,M,5등급,1795,0.1852,9692
성인,35,39,세,M,6등급,672,0.0693,9692
성인,35,39,세,M,참가,10,0.001,9692
성인,35,39,세,F,1등급,313,0.0784,3992
성인,35,39,세,F,2등급,618,0.1548,3992
성인,35,39,세,F,3등급,873,0.2187,3992
성인,35,39,세,F,4등급,1232,0.3086,3992
성인,35,39,세,F,5등급,710,0.1779,3992
성인,35,39,세,F,6등급,242,0.0606,3992
성인,35,39,세,F,참가,4,0.001,3992
성인,40,44,세,M,1등급,604,0.0761,7937
성인,40,44,세,M,2등급,1231,0.1551,7937
성인,40,44,세,M,3등급,1634,0.2059,7937
성인,40,44,세,M,4등급,2370,0.2986,7937
성인,40,44,세,M,5등급,1589,0.2002,7937
성인,40,44,세,M,6등급,500,0.063,7937
성인,40,44,세,M,참가,9,0.0011,7937
성인,40,44,세,F,1등급,291,0.0625,4657
성인,40,44,세,F,2등급,602,0.1293,4657
성인,40,44,세,F,3등급,1001,0.2149,4657
성인,40,44,세,F,4등급,1547,0.3322,4657
성인,40,44,세,F,5등급,913,0.196,4657
성인,40,44,세,F,6등급,297,0.0638,4657
성인,40,44,세,F,참가,6,0.0013,4657
성인,45,49,세,M,1등급,539,0.0774,6968
성인,45,49,세,M,2등급,1084,0.1556,6968
성인,45,49,세,M,3등급,1418,0.2035,6968
성인,45,49,세,M,4등급,2041,0.2929,6968
성인,45,49,세,M,5등급,1404,0.2015,6968
성인,45,49,세,M,6등급,473,0.0679,6968
성인,45,49,세,M,참가,9,0.0013,6968
성인,45,49,세,F,1등급,320,0.0635,5038
성인,45,49,세,F,2등급,721,0.1431,5038
성인,45,49,세,F,3등급,1040,0.2064,5038
성인,45,49,세,F,4등급,1733,0.344,5038
성인,45,49,세,F,5등급,918,0.1822,5038
성인,45,49,세,F,6등급,294,0.0584,5038
성인,45,49,세,F,참가,12,0.0024,5038
성인,50,54,세,M,1등급,411,0.0649,6337
성인,50,54,세,M,2등급,983,0.1551,6337
성인,50,54,세,M,3등급,1368,0.2159,6337
성인,50,54,세,M,4등급,1944,0.3068,6337
성인,50,54,세,M,5등급,1271,0.2006,6337
성인,50,54,세,M,6등급,357,0.0563,6337
성인,50,54,세,M,참가,3,0.0005,6337
성인,50,54,세,F,1등급,445,0.0709,6277
성인,50,54,세,F,2등급,810,0.129,6277
성인,50,54,세,F,3등급,1250,0.1991,6277
성인,50,54,세,F,4등급,2227,0.3548,6277
성인,50,54,세,F,5등급,1243,0.198,6277
성인,50,54,세,F,6등급,291,0.0464,6277
성인,50,54,세,F,참가,11,0.0018,6277
성인,55,59,세,M,1등급,378,0.0677,5581
성인,55,59,세,M,2등급,891,0.1596,5581
