age_group,age_lo,age_hi,age_unit,sex,factor,item_code,item_name,bin_lo,bin_hi,count,ratio
유소년,11,11,세,M,근지구력,009,윗몸말아올리기,0,10,3312,0.1036
유소년,11,11,세,M,근지구력,009,윗몸말아올리기,10,20,2311,0.0723
유소년,11,11,세,M,근지구력,009,윗몸말아올리기,20,30,2937,0.0918
유소년,11,11,세,M,근지구력,009,윗몸말아올리기,30,40,2134,0.0667
유소년,11,11,세,M,근지구력,009,윗몸말아올리기,40,50,3242,0.1014
유소년,11,11,세,M,근지구력,009,윗몸말아올리기,50,60,2174,0.068
유소년,11,11,세,M,근지구력,009,윗몸말아올리기,60,70,3020,0.0944
유소년,11,11,세,M,근지구력,009,윗몸말아올리기,70,80,2309,0.0722
유소년,11,11,세,M,근지구력,009,윗몸말아올리기,80,90,4175,0.1306
유소년,11,11,세,M,근지구력,009,윗몸말아올리기,90,100,6366,0.1991
유소년,11,11,세,M,유연성,012,앉아윗몸앞으로굽히기,0,10,3998,0.1314
유소년,11,11,세,M,유연성,012,앉아윗몸앞으로굽히기,10,20,3644,0.1197
유소년,11,11,세,M,유연성,012,앉아윗몸앞으로굽히기,20,30,2968,0.0975
유소년,11,11,세,M,유연성,012,앉아윗몸앞으로굽히기,30,40,3550,0.1166
유소년,11,11,세,M,유연성,012,앉아윗몸앞으로굽히기,40,50,3270,0.1074
유소년,11,11,세,M,유연성,012,앉아윗몸앞으로굽히기,50,60,2946,0.0968
유소년,11,11,세,M,유연성,012,앉아윗몸앞으로굽히기,60,70,2540,0.0835
유소년,11,11,세,M,유연성,012,앉아윗몸앞으로굽히기,70,80,2451,0.0805
유소년,11,11,세,M,유연성,012,앉아윗몸앞으로굽히기,80,90,1996,0.0656
유소년,11,11,세,M,유연성,012,앉아윗몸앞으로굽히기,90,100,3072,0.1009
유소년,11,11,세,M,심폐지구력,020,왕복오래달리기,0,10,3032,0.0997
유소년,11,11,세,M,심폐지구력,020,왕복오래달리기,10,20,2188,0.072
유소년,11,11,세,M,심폐지구력,020,왕복오래달리기,20,30,2474,0.0814
유소년,11,11,세,M,심폐지구력,020,왕복오래달리기,30,40,2233,0.0734
유소년,11,11,세,M,심폐지구력,020,왕복오래달리기,40,50,2467,0.0811
유소년,11,11,세,M,심폐지구력,020,왕복오래달리기,50,60,2889,0.095
유소년,11,11,세,M,심폐지구력,020,왕복오래달리기,60,70,3086,0.1015
유소년,11,11,세,M,심폐지구력,020,왕복오래달리기,70,80,2823,0.0928
유소년,11,11,세,M,심폐지구력,020,왕복오래달리기,80,90,4005,0.1317
유소년,11,11,세,M,심폐지구력,020,왕복오래달리기,90,100,5212,0.1714
유소년,11,11,세,M,순발력,022,제자리멀리뛰기,0,10,2367,0.0778
유소년,11,11,세,M,순발력,022,제자리멀리뛰기,10,20,1332,0.0438
유소년,11,11,세,M,순발력,022,제자리멀리뛰기,20,30,2046,0.0672
유소년,11,11,세,M,순발력,022,제자리멀리뛰기,30,40,1624,0.0534
유소년,11,11,세,M,순발력,022,제자리멀리뛰기,40,50,2541,0.0835
유소년,11,11,세,M,순발력,022,제자리멀리뛰기,50,60,3402,0.1118
유소년,11,11,세,M,순발력,022,제자리멀리뛰기,60,70,3538,0.1163
유소년,11,11,세,M,순발력,022,제자리멀리뛰기,70,80,3049,0.1002
유소년,11,11,세,M,순발력,022,제자리멀리뛰기,80,90,4631,0.1522
유소년,11,11,세,M,순발력,022,제자리멀리뛰기,90,100,5897,0.1938
