age_group,sex,age_lo,age_hi,age_unit,item_code,item_name,range_lo,range_hi
성인,F,19,24,세,003,체지방률,16.0,37.0
성인,F,19,24,세,018,BMI,18.5,25.0
성인,F,25,29,세,003,체지방률,16.0,37.0
성인,F,25,29,세,018,BMI,18.5,25.0
성인,F,30,34,세,003,체지방률,16.0,37.0
성인,F,30,34,세,018,BMI,18.5,25.0
성인,F,35,39,세,003,체지방률,16.0,37.0
성인,F,35,39,세,018,BMI,18.5,25.0
성인,F,40,44,세,003,체지방률,16.0,37.0
성인,F,40,44,세,018,BMI,18.5,25.0
성인,F,45,49,세,003,체지방률,16.0,37.0
성인,F,45,49,세,018,BMI,18.5,25.0
성인,F,50,54,세,003,체지방률,16.0,37.0
성인,F,50,54,세,018,BMI,18.5,25.0
성인,F,55,59,세,003,체지방률,16.0,37.0
성인,F,55,59,세,018,BMI,18.5,25.0
성인,F,60,64,세,003,체지방률,16.0,37.0
성인,F,60,64,세,018,BMI,18.5,25.0
성인,M,19,24,세,003,체지방률,7.0,27.0
성인,M,19,24,세,018,BMI,18.5,25.0
성인,M,25,29,세,003,체지방률,7.0,27.0
성인,M,25,29,세,018,BMI,18.5,25.0
성인,M,30,34,세,003,체지방률,7.0,27.0
성인,M,30,34,세,018,BMI,18.5,25.0
성인,M,35,39,세,003,체지방률,7.0,27.0
성인,M,35,39,세,018,BMI,18.5,25.0
성인,M,40,44,세,003,체지방률,7.0,27.0
성인,M,40,44,세,018,BMI,18.5,25.0
성인,M,45,49,세,003,체지방률,7.0,27.0
성인,M,45,49,세,018,BMI,18.5,25.0
성인,M,50,54,세,003,체지방률,7.0,27.0
성인,M,50,54,세,018,BMI,18.5,25.0
성인,M,55,59,세,003,체지방률,7.0,27.0
성인,M,55,59,세,018,BMI,18.5,25.0
성인,M,60,64,세,003,체지방률,7.0,27.0
성인,M,60,64,세,018,BMI,18.5,25.0
유소년,F,11,11,세,018,BMI,,23.3
유소년,F,11,11,세,042,WHtR,,0.47
유소년,F,12,12,세,018,BMI,,24.1
유소년,F,12,12,세,042,WHtR,,0.47
유소년,M,11,11,세,018,BMI,,24.2
유소년,M,11,11,세,042,WHtR,,0.5
유소년,M,12,12,세,018,BMI,,25.1
유소년,M,12,12,세,042,WHtR,,0.5
유아기,F,48,53,개월,018,BMI,,17.5
유아기,F,54,59,개월,018,BMI,,17.7
유아기,F,60,65,개월,018,BMI,,18.1
유아기,F,66,71,개월,018,BMI,,18.1
유아기,F,72,83,개월,018,BMI,,18.3
유아기,M,48,53,개월,018,BMI,,17.5
유아기,M,54,59,개월,018,BMI,,18.1
유아기,M,60,65,개월,018,BMI,,19.2
유아기,M,66,71,개월,018,BMI,,18.7
유아기,M,72,83,개월,018,BMI,,19.5
청소년,F,13,13,세,003,체지방률,,33.0
청소년,F,13,13,세,018,BMI,,24.8
청소년,F,14,14,세,003,체지방률,,34.5
청소년,F,14,14,세,018,BMI,,25.2
청소년,F,15,15,세,003,체지방률,,35.2
청소년,F,15,15,세,018,BMI,,25.4
청소년,F,16,16,세,003,체지방률,,36.1
청소년,F,16,16,세,018,BMI,,25.5
청소년,F,17,17,세,003,체지방률,,36.9
청소년,F,17,17,세,018,BMI,,25.5
청소년,F,18,18,세,003,체지방률,,36.4
청소년,F,18,18,세,018,BMI,,25.5
청소년,M,13,13,세,003,체지방률,,22.6
청소년,M,13,13,세,018,BMI,,25.7
청소년,M,14,14,세,003,체지방률,,22.4
청소년,M,14,14,세,018,BMI,,26.0
청소년,M,15,15,세,003,체지방률,,22.2
청소년,M,15,15,세,018,BMI,,26.2
청소년,M,16,16,세,003,체지방률,,22.3
청소년,M,16,16,세,018,BMI,,26.4
청소년,M,17,17,세,003,체지방률,,22.5
청소년,M,17,17,세,018,BMI,,26.6
청소년,M,18,18,세,003,체지방률,,23.6
청소년,M,18,18,세,018,BMI,,26.9
