exercise_name,raw_forms,count,phases,age_groups,fitness_factors
전신 루틴 스트레칭,전신 루틴 스트레칭,173099,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
달리기,달리기,130461,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
하지 루틴 스트레칭2,하지 루틴 스트레칭2,111937,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
하지 루틴 스트레칭1,하지 루틴 스트레칭1,94231,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
유산소 운동 전 동적 루틴 스트레칭,유산소 운동 전 동적 루틴 스트레칭,93975,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
상지 루틴 스트레칭,상지 루틴 스트레칭,91847,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
정적 스트레칭  루틴프로그램,정적 스트레칭  루틴프로그램,79512,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
동적 스트레칭 루틴프로그램,동적 스트레칭 루틴프로그램,76069,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
걷기,걷기,73652,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
조깅,조깅,70290,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
실내 자전거타기,실내 자전거타기,67020,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
앉았다 일어서기,앉았다 일어서기,66188,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
넙다리 뒤쪽 스트레칭,넙다리 뒤쪽 스트레칭,65044,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
맨몸운동  루틴프로그램,맨몸운동  루틴프로그램,63767,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
수영,수영,58163,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
엉덩이 스트레칭,엉덩이 스트레칭,53663,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
엎드려 버티기,엎드려 버티기,49958,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
등/어깨 뒤쪽 스트레칭,등/어깨 뒤쪽 스트레칭,49059,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
계단 올라갔다 내려오기,계단 올라갔다 내려오기,48882,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
자가근막이완술 루틴 스트레칭,자가근막이완술 루틴 스트레칭,47883,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
넙다리 안쪽 스트레칭,넙다리 안쪽 스트레칭,46608,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
웨이트 트레이닝  루틴프로그램,웨이트 트레이닝  루틴프로그램,46059,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
허리 스트레칭,허리 스트레칭,45922,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
윗몸 말아 올리기,윗몸 말아 올리기;윗몸말아올리기,44060,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
줄넘기 운동,줄넘기 운동,44024,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
팔굽혀펴기,팔굽혀 펴기;팔굽혀펴기,41937,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
턱걸이,턱걸이,40733,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
버피운동,버피운동,40622,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
윗몸올리기,윗몸올리기,39309,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
배스트레칭,배 스트레칭;배스트레칭,38897,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
줄넘기,줄넘기,38574,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
자전거타기,자전거타기,37608,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
가슴/어깨 앞쪽 스트레칭,가슴/어깨 앞쪽 스트레칭,36875,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
트레드밀에서 걷기,트레드밀에서 걷기,35927,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
목 스트레칭,목 스트레칭,32552,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
저항밴드 운동  루틴프로그램,저항밴드 운동  루틴프로그램,32212,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
발목 돌리기,발목 돌리기,30739,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
계단 뛰어 오르기,계단 뛰어 오르기,30355,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
요가 및 필라테스  루틴프로그램,요가 및 필라테스  루틴프로그램,27858,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
고정식 자전거 타기,고정식 자전거 타기,26979,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
발 끝 당기기,발 끝 당기기,26938,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
넙다리 앞쪽 스트레칭,넙다리 앞쪽 스트레칭,26880,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
옆구리 스트레칭,옆구리 스트레칭,25838,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
아래 팔 스트레칭,아래 팔 스트레칭,24923,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
왕복달리기,왕복달리기,24287,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
팔벌려뛰기,팔 벌려 뛰기;팔벌려뛰기,23740,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
실외 자전거타기,실외 자전거타기,22618,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
누워서 다리 들어올리기,누워서 다리 들어올리기,21956,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
한발 앞으로 내밀고 앉았다 일어서기,한발 앞으로 내밀고 앉았다 일어서기,21341,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
누워서 배가로근 수축 II,누워서 배가로근 수축 II,20821,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
바벨 끌어당기기,바벨 끌어당기기,19640,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
매달려서 다리 들기,매달려서 다리 들기,19469,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
고정식 트레드밀에서 걷기,고정식 트레드밀에서 걷기,19336,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
거북이 스트레칭,거북이 스트레칭,19332,준비운동;본운동;정리운동,성인;어르신;유소년;유아기,
몸통 비틀기,몸통 비틀기,19119,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
나비자세,나비자세,18508,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
앉아서 다리 펴기,앉아서 다리 펴기,17696,준비운동;본운동;정리운동,성인;어르신;유아기;청소년,
윗몸 일으키기,윗몸 일으키기,17578,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
버피 테스트,버피 테스트,16902,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
흔들어 체조,흔들어 체조,16841,준비운동;본운동;정리운동,성인;어르신;유소년;유아기,
엎드려 한발 원 그리기,엎드려 한발 원 그리기,16767,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
스텝박스,스텝박스,16361,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
제자리 뛰기,제자리 뛰기,15878,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
고관절 스트레칭,고관절 스트레칭,15797,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
박스 운동  루틴프로그램,박스 운동  루틴프로그램,15576,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
대퇴사두근 스트레칭,대퇴사두근 스트레칭,15060,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
어깨 스트레칭,어깨 스트레칭,14923,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
전완대고 버티기,전완대고 버티기,14651,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
스텝박스 오르내리기,스텝박스 오르내리기,14515,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
옆으로 누워서팔 앞으로 당기기,옆으로 누워서팔 앞으로 당기기,14230,준비운동;본운동;정리운동,성인;어르신;유아기,
엎드려 상체 들어올리기,엎드려 상체 들어올리기,14144,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
옆으로 누워 버티기,옆으로 누워 버티기,13851,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
앉았다 일어서면서 점프하기,앉았다 일어서면서 점프하기,13836,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
앉아서 다리 밀기,앉아서 다리 밀기,13707,준비운동;본운동;정리운동,성인;어르신;유아기;청소년,
바운딩 운동  루틴프로그램,바운딩 운동  루틴프로그램,13024,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
사다리 운동  루틴프로그램,사다리 운동  루틴프로그램,12891,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
대퇴이두근 스트레칭,대퇴이두근 스트레칭,12676,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
테이블 이용하여 팔 들어 올리기,테이블 이용하여 팔 들어 올리기,12365,준비운동;본운동;정리운동,성인;어르신;유아기,
메디신볼 운동  루틴프로그램,메디신볼 운동  루틴프로그램,12357,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
무릎 높여 제자리 달리기,무릎 높여 제자리 달리기,12136,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
좌식생활자를 위한 동적 루틴 스트레칭,좌식생활자를 위한 동적 루틴 스트레칭,12050,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
덤벨 잡고 앉았다 일어서기,덤벨 잡고 앉았다 일어서기,11991,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
진자운동,진자운동,11847,준비운동;본운동;정리운동,성인;어르신;유아기,
작은 공을 이용한 동적 루틴 스트레칭,작은 공을 이용한 동적 루틴 스트레칭,11688,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
다리 모아 상체 숙이기,다리 모아 상체 숙이기,11518,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
엎드려서 다리 굽히기,엎드려서 다리 굽히기,11444,준비운동;본운동;정리운동,성인;어르신;유아기,
누워서 뒤로 팔굽혀펴기,누워서 뒤로 팔굽혀펴기,11435,준비운동;본운동;정리운동,성인;유소년;유아기;청소년,
계단 오르기,계단 오르기,11414,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
누워서 팔 다리 동시에 들어올리기,누워서 팔 다리 동시에 들어올리기,11182,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
의자 이용 중심 잡기 루틴 운동,의자 이용 중심 잡기 루틴 운동,11146,준비운동;본운동;정리운동,성인;어르신;유아기,
소파를 이용한 윗몸올리기,소파를 이용한 윗몸올리기,11112,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
누워서 엉덩이 들어올리기,누워서 엉덩이 들어올리기,10392,준비운동;본운동;정리운동,성인;어르신;유아기;청소년,
손 뻗어 윗몸 일으키기,손 뻗어 윗몸 일으키기,10143,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
가슴 스트레칭,가슴 스트레칭,9826,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
후굴자세 해봐요,후굴자세 해봐요,9815,준비운동;본운동;정리운동,성인;어르신;유아기,
다리 벌려 앞으로 상체 숙이기,다리 벌려 앞으로 상체 숙이기,9630,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
엎드려 팔 대고 버티기,엎드려 팔 대고 버티기,9546,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
왜가리 자세,왜가리 자세,9294,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
엎드려 팔로 걷기,엎드려 팔로 걷기,9249,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
엎드려 무릎 연속 차기,엎드려 무릎 연속 차기,9152,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
손목 펴기/굽히기,손목 펴기/굽히기,9122,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
앉아서 당겨 내리기,앉아서 당겨 내리기,8965,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
1단 줄넘기,1단 줄넘기,8847,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
누워서 배가로근 수축 I,누워서 배가로근 수축 I,8739,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
밴드를 당겨요,밴드를 당겨요,8708,준비운동;본운동;정리운동,성인;어르신;유아기,
짝 스트레칭  루틴프로그램,짝 스트레칭  루틴프로그램,8565,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
등 대고 대퇴이두근 스트레칭,등 대고 대퇴이두근 스트레칭,8500,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
종아리 스트레칭,종아리 스트레칭,8337,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
다리 굽혀(W자) 상체 뒤로 눕기,다리 굽혀(W자) 상체 뒤로 눕기,8323,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
내전근 스트레칭,내전근 스트레칭,8174,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
발바닥 마주대고 끌어당기기,발바닥 마주대고 끌어당기기,8168,준비운동;본운동;정리운동,성인;어르신;유소년;유아기,
앉아서 엉덩이 들고 이동하기,앉아서 엉덩이 들고 이동하기,8037,준비운동;본운동;정리운동,성인;유소년;유아기;청소년,
빠르게 걷기,빠르게 걷기,7775,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
바벨들어올리기,바벨들어올리기,7749,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
테이블 이용하여 팔 옆으로 벌리기,테이블 이용하여 팔 옆으로 벌리기,7727,준비운동;본운동;정리운동,성인;어르신;유아기,
영차영차 올라요,영차영차 올라요,7580,준비운동;본운동;정리운동,성인;어르신;유아기,
서서 뒤꿈치 들기,서서 뒤꿈치 들기,7517,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
허리 굽혀 덤벨 들기,허리 굽혀 덤벨 들기,7387,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
의자 잡고 후방으로 한발 뻗어 들기,의자 잡고 후방으로 한발 뻗어 들기,7376,준비운동;본운동;정리운동,성인;어르신;유아기;청소년,
누워서 하늘 자전거,누워서 하늘 자전거,7303,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
몸통 옆으로 굽히기,몸통 옆으로 굽히기,7234,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
의자잡고 후방으로 무릎 굽혀 들기,의자잡고 후방으로 무릎 굽혀 들기,7145,준비운동;본운동;정리운동,성인;어르신;유아기;청소년,
누워 무릎 기울기,누워 무릎 기울기,7144,준비운동;본운동;정리운동,성인;청소년,
발목 얹고 다리 잡아당기기,발목 얹고 다리 잡아당기기,7134,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
무릎 굽혀 가슴 닿기,무릎 굽혀 가슴 닿기,7107,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
점핑점핑해요,점핑점핑해요,7095,준비운동;본운동;정리운동,성인;어르신;유소년;유아기,
의자에 앉아 다리 뻗어 올리기,의자에 앉아 다리 뻗어 올리기,6955,준비운동;본운동;정리운동,성인;어르신;유아기;청소년,
짐볼을 이용한 동적 루틴 스트레칭,짐볼을 이용한 동적 루틴 스트레칭,6949,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
스텝퍼 옆으로 뛰어넘기,스텝퍼 옆으로 뛰어넘기,6911,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
바벨 잡고 들어올리기,바벨 잡고 들어올리기,6870,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
몸통 들어올리기,몸통 들어올리기,6718,준비운동;본운동;정리운동,성인;어르신;유아기;청소년,
엉덩이 스트레칭2,엉덩이 스트레칭2,6702,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
짐볼 운동  루틴프로그램,짐볼 운동  루틴프로그램,6488,준비운동;본운동;정리운동,성인;어르신;유소년;청소년,
벽패스,벽패스,6487,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
스텝퍼 뛰어서 오르내리기,스텝퍼 뛰어서 오르내리기,6448,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
스텝퍼 오르내리기,스텝퍼 오르내리기,6412,준비운동;본운동;정리운동,성인;어르신;유아기;청소년,
마주 앉아 대퇴이두근 스트레칭,마주 앉아 대퇴이두근 스트레칭,6389,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
의자 잡고 전방으로 무릎 굽혀 들기,의자 잡고 전방으로 무릎 굽혀 들기,6332,준비운동;본운동;정리운동,어르신;유아기;청소년,
물속에서 걷기,물속에서 걷기,6184,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
다리 뻗어 올리기,다리 뻗어 올리기,6031,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
꼬리를 떼어요,꼬리를 떼어요,5998,준비운동;본운동;정리운동,성인;어르신;유아기,
서서 다리 뒤로 차기,서서 다리 뒤로 차기,5981,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
양발 교차하여 서서 몸통 숙이기,양발 교차하여 서서 몸통 숙이기,5908,준비운동;본운동;정리운동,성인;어르신;유소년;청소년,
짐볼 윗몸올리기,짐볼 윗몸올리기,5878,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
덤벨 옆으로 들어올리기,덤벨 옆으로 들어올리기,5843,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
팔꿈치 맞닿아 원그리기,팔꿈치 맞닿아 원그리기,5703,준비운동;본운동;정리운동,성인;어르신;유소년;유아기,
서서 바벨 위로 밀기,서서 바벨 위로 밀기,5678,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
줄넘기 해요,줄넘기 해요,5662,준비운동;본운동;정리운동,성인;어르신;유소년;유아기,
앉아서 엉덩관절 굽히기,앉아서 엉덩관절 굽히기,5555,준비운동;본운동;정리운동,성인;어르신;유아기;청소년,
대퇴이두근 스트레칭2,대퇴이두근 스트레칭2,5537,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
몸통 스트레칭,몸통 스트레칭,5515,준비운동;본운동;정리운동,성인;어르신;유소년;청소년,
의자에 한 다리 올리고 앉앗다 일어서기,의자에 한 다리 올리고 앉앗다 일어서기,5492,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
몸 앞으로 굽히기,몸 앞으로 굽히기,5462,준비운동;본운동;정리운동,어르신;유아기,
공 양손으로 주고 받기,공 양손으로 주고 받기,5329,준비운동;본운동;정리운동,어르신;유소년;유아기;청소년,
동물처럼 걸어요,동물처럼 걸어요,5299,준비운동;본운동;정리운동,성인;어르신;유아기,
바벨 들어 팔꿈치 굽히기,바벨 들어 팔꿈치 굽히기,5271,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
누워서 덤벨 들어올리기,누워서 덤벨 들어올리기,5264,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
다리 벌려 옆으로 상체 숙이기,다리 벌려 옆으로 상체 숙이기,5183,준비운동;본운동;정리운동,성인;어르신;유소년;유아기,
엎드려서 균형잡기,엎드려서 균형잡기,5067,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
점프 팔굽혀펴기,점프 팔굽혀펴기,5020,준비운동;본운동;정리운동,성인;유아기;청소년,
덤벨 잡고 뒤꿈치 들기,덤벨 잡고 뒤꿈치 들기,4993,준비운동;본운동;정리운동,성인;어르신;유아기;청소년,
한발 연속 뛰기,한발 연속 뛰기,4880,준비운동;본운동;정리운동,성인;유소년;청소년,
스텝퍼 뛰어서 넘어가기,스텝퍼 뛰어서 넘어가기,4843,준비운동;본운동;정리운동,성인;유소년;유아기;청소년,
50M 달리기,50M 달리기,4823,준비운동;본운동;정리운동,성인;어르신;유소년;유아기;청소년,
