exercise_id,exercise_name,raw_forms,merge_reason,kind,phase_share,prescribed,age_groups,blocked_with,indoor
전신루틴스트레칭,전신 루틴 스트레칭,전신 루틴 스트레칭,,묶음,준비운동:0.414;본운동:0.022;정리운동:0.564,173099,성인;어르신;유소년;유아기;청소년,,
달리기,달리기,달리기,,낱개,준비운동:0.151;본운동:0.770;정리운동:0.079,130461,성인;어르신;유소년;유아기;청소년,,
하지루틴스트레칭2,하지 루틴 스트레칭2,하지 루틴 스트레칭2,,묶음,준비운동:0.201;본운동:0.092;정리운동:0.707,111937,성인;어르신;유소년;유아기;청소년,하지 루틴 스트레칭1,
하지루틴스트레칭1,하지 루틴 스트레칭1,하지 루틴 스트레칭1,,묶음,준비운동:0.292;본운동:0.068;정리운동:0.639,94231,성인;어르신;유소년;유아기;청소년,하지 루틴 스트레칭2,
유산소운동전동적루틴스트레칭,유산소 운동 전 동적 루틴 스트레칭,유산소 운동 전 동적 루틴 스트레칭,,묶음,준비운동:0.931;본운동:0.032;정리운동:0.036,93975,성인;어르신;유소년;유아기;청소년,,
상지루틴스트레칭,상지 루틴 스트레칭,상지 루틴 스트레칭,,묶음,준비운동:0.262;본운동:0.024;정리운동:0.714,91847,성인;어르신;유소년;유아기;청소년,,
정적스트레칭루틴프로그램,정적 스트레칭  루틴프로그램,정적 스트레칭  루틴프로그램,,묶음,준비운동:0.136;본운동:0.013;정리운동:0.851,79512,성인;어르신;유소년;유아기;청소년,,
동적스트레칭루틴프로그램,동적 스트레칭 루틴프로그램,동적 스트레칭 루틴프로그램,,묶음,준비운동:0.934;본운동:0.027;정리운동:0.039,76069,성인;어르신;유소년;유아기;청소년,,
걷기,걷기,걷기,,낱개,준비운동:0.317;본운동:0.451;정리운동:0.232,73652,성인;어르신;유소년;유아기;청소년,,
조깅,조깅,조깅,,낱개,준비운동:0.178;본운동:0.695;정리운동:0.127,70290,성인;어르신;유소년;유아기;청소년,,
실내자전거타기,실내 자전거타기,실내 자전거타기,,낱개,준비운동:0.162;본운동:0.734;정리운동:0.104,67020,성인;어르신;유소년;유아기;청소년,,
앉았다일어서기,앉았다 일어서기,앉았다 일어서기,,낱개,준비운동:0.040;본운동:0.933;정리운동:0.027,66188,성인;어르신;유소년;유아기;청소년,,
넙다리뒤쪽스트레칭,넙다리 뒤쪽 스트레칭,넙다리 뒤쪽 스트레칭,,낱개,준비운동:0.138;본운동:0.252;정리운동:0.610,65044,성인;어르신;유소년;유아기;청소년,,
맨몸운동루틴프로그램,맨몸운동  루틴프로그램,맨몸운동  루틴프로그램,,묶음,준비운동:0.029;본운동:0.970;정리운동:0.002,63767,성인;어르신;유소년;유아기;청소년,,
수영,수영,수영,,낱개,준비운동:0.058;본운동:0.892;정리운동:0.050,58163,성인;어르신;유소년;유아기;청소년,,
엉덩이스트레칭,엉덩이 스트레칭,엉덩이 스트레칭,,낱개,준비운동:0.192;본운동:0.181;정리운동:0.627,53663,성인;어르신;유소년;유아기;청소년,엉덩이 스트레칭2,
엎드려버티기,엎드려 버티기,엎드려 버티기,,낱개,준비운동:0.027;본운동:0.964;정리운동:0.009,49958,성인;어르신;유소년;유아기;청소년,,
등/어깨뒤쪽스트레칭,등/어깨 뒤쪽 스트레칭,등/어깨 뒤쪽 스트레칭,,낱개,준비운동:0.811;본운동:0.047;정리운동:0.143,49059,성인;어르신;유소년;유아기;청소년,,
계단올라갔다내려오기,계단 올라갔다 내려오기,계단 올라갔다 내려오기,,낱개,준비운동:0.072;본운동:0.829;정리운동:0.099,48882,성인;어르신;유소년;유아기;청소년,,
자가근막이완술루틴스트레칭,자가근막이완술 루틴 스트레칭,자가근막이완술 루틴 스트레칭,,묶음,준비운동:0.550;본운동:0.103;정리운동:0.348,47883,성인;어르신;유소년;유아기;청소년,,
넙다리안쪽스트레칭,넙다리 안쪽 스트레칭,넙다리 안쪽 스트레칭,,낱개,준비운동:0.114;본운동:0.213;정리운동:0.674,46608,성인;어르신;유소년;유아기;청소년,,
웨이트트레이닝루틴프로그램,웨이트 트레이닝  루틴프로그램,웨이트 트레이닝  루틴프로그램,,묶음,준비운동:0.017;본운동:0.981;정리운동:0.002,46059,성인;어르신;유소년;유아기;청소년,,
허리스트레칭,허리 스트레칭,허리 스트레칭,,낱개,준비운동:0.363;본운동:0.098;정리운동:0.539,45922,성인;어르신;유소년;유아기;청소년,,
윗몸말아올리기,윗몸 말아 올리기,윗몸 말아 올리기;윗몸말아올리기,,낱개,준비운동:0.093;본운동:0.896;정리운동:0.011,44060,성인;어르신;유소년;유아기;청소년,,
줄넘기운동,줄넘기 운동,줄넘기 운동,,낱개,준비운동:0.103;본운동:0.739;정리운동:0.158,44024,성인;어르신;유소년;유아기;청소년,,
팔굽혀펴기,팔굽혀펴기,팔굽혀 펴기;팔굽혀펴기,,낱개,준비운동:0.390;본운동:0.601;정리운동:0.008,41937,성인;어르신;유소년;유아기;청소년,팔굽혀펴기(무릎대고 실시),
턱걸이,턱걸이,턱걸이,,낱개,준비운동:0.050;본운동:0.947;정리운동:0.003,40733,성인;어르신;유소년;유아기;청소년,,
버피운동,버피운동,버피운동,,낱개,준비운동:0.031;본운동:0.956;정리운동:0.013,40622,성인;어르신;유소년;유아기;청소년,,
윗몸올리기,윗몸올리기,윗몸올리기,,낱개,준비운동:0.075;본운동:0.920;정리운동:0.005,39309,성인;어르신;유소년;유아기;청소년,,
배스트레칭,배스트레칭,배 스트레칭;배스트레칭,,낱개,준비운동:0.267;본운동:0.125;정리운동:0.608,38897,성인;어르신;유소년;유아기;청소년,,
줄넘기,줄넘기,줄넘기,,낱개,준비운동:0.104;본운동:0.809;정리운동:0.087,38574,성인;어르신;유소년;유아기;청소년,,
자전거타기,자전거타기,자전거타기,,낱개,준비운동:0.148;본운동:0.761;정리운동:0.091,37608,성인;어르신;유소년;유아기;청소년,,
가슴/어깨앞쪽스트레칭,가슴/어깨 앞쪽 스트레칭,가슴/어깨 앞쪽 스트레칭,,낱개,준비운동:0.838;본운동:0.039;정리운동:0.123,36875,성인;어르신;유소년;유아기;청소년,,
트레드밀에서걷기,트레드밀에서 걷기,트레드밀에서 걷기,,낱개,준비운동:0.306;본운동:0.569;정리운동:0.126,35927,성인;어르신;유소년;유아기;청소년,,
목스트레칭,목 스트레칭,목 스트레칭,,낱개,준비운동:0.831;본운동:0.023;정리운동:0.146,32552,성인;어르신;유소년;유아기;청소년,,
저항밴드운동루틴프로그램,저항밴드 운동  루틴프로그램,저항밴드 운동  루틴프로그램,,묶음,준비운동:0.009;본운동:0.989;정리운동:0.002,32212,성인;어르신;유소년;유아기;청소년,,
발목돌리기,발목 돌리기,발목 돌리기,,낱개,준비운동:0.827;본운동:0.058;정리운동:0.115,30739,성인;어르신;유소년;유아기;청소년,,
계단뛰어오르기,계단 뛰어 오르기,계단 뛰어 오르기,,낱개,준비운동:0.109;본운동:0.874;정리운동:0.017,30355,성인;어르신;유소년;유아기;청소년,,
요가및필라테스루틴프로그램,요가 및 필라테스  루틴프로그램,요가 및 필라테스  루틴프로그램,,묶음,준비운동:0.235;본운동:0.204;정리운동:0.561,27858,성인;어르신;유소년;유아기;청소년,,
고정식자전거타기,고정식 자전거 타기,고정식 자전거 타기,,낱개,준비운동:0.146;본운동:0.726;정리운동:0.127,26979,성인;어르신;유소년;유아기;청소년,,
발끝당기기,발 끝 당기기,발 끝 당기기,,낱개,준비운동:0.759;본운동:0.095;정리운동:0.146,26938,성인;어르신;유소년;유아기;청소년,,
넙다리앞쪽스트레칭,넙다리 앞쪽 스트레칭,넙다리 앞쪽 스트레칭,,낱개,준비운동:0.164;본운동:0.193;정리운동:0.643,26880,성인;어르신;유소년;유아기;청소년,,
옆구리스트레칭,옆구리 스트레칭,옆구리 스트레칭,,낱개,준비운동:0.336;본운동:0.157;정리운동:0.507,25838,성인;어르신;유소년;유아기;청소년,,
아래팔스트레칭,아래 팔 스트레칭,아래 팔 스트레칭,,낱개,준비운동:0.830;본운동:0.033;정리운동:0.136,24923,성인;어르신;유소년;유아기;청소년,,
왕복달리기,왕복달리기,왕복달리기,,낱개,준비운동:0.130;본운동:0.842;정리운동:0.028,24287,성인;어르신;유소년;유아기;청소년,,
팔벌려뛰기,팔벌려뛰기,팔 벌려 뛰기;팔벌려뛰기,,낱개,준비운동:0.058;본운동:0.916;정리운동:0.026,23740,성인;어르신;유소년;유아기;청소년,,
실외자전거타기,실외 자전거타기,실외 자전거타기,,낱개,준비운동:0.322;본운동:0.667;정리운동:0.010,22618,성인;어르신;유소년;유아기;청소년,,
누워서다리들어올리기,누워서 다리 들어올리기,누워서 다리 들어올리기,,낱개,준비운동:0.041;본운동:0.914;정리운동:0.045,21956,성인;어르신;유소년;유아기;청소년,,
한발앞으로내밀고앉았다일어서기,한발 앞으로 내밀고 앉았다 일어서기,한발 앞으로 내밀고 앉았다 일어서기,,낱개,준비운동:0.067;본운동:0.926;정리운동:0.007,21341,성인;어르신;유소년;유아기;청소년,,
누워서배가로근수축II,누워서 배가로근 수축 II,누워서 배가로근 수축 II,,낱개,준비운동:0.051;본운동:0.946;정리운동:0.003,20821,성인;어르신;유소년;유아기;청소년,누워서 배가로근 수축 I,
바벨끌어당기기,바벨 끌어당기기,바벨 끌어당기기,,낱개,준비운동:0.074;본운동:0.923;정리운동:0.003,19640,성인;어르신;유소년;유아기;청소년,,
매달려서다리들기,매달려서 다리 들기,매달려서 다리 들기,,낱개,준비운동:0.062;본운동:0.933;정리운동:0.005,19469,성인;어르신;유소년;유아기;청소년,,
고정식트레드밀에서걷기,고정식 트레드밀에서 걷기,고정식 트레드밀에서 걷기,,낱개,준비운동:0.162;본운동:0.731;정리운동:0.107,19336,성인;어르신;유소년;유아기;청소년,,
거북이스트레칭,거북이 스트레칭,거북이 스트레칭,,낱개,준비운동:0.553;본운동:0.061;정리운동:0.387,19332,성인;어르신;유소년;유아기,,
몸통비틀기,몸통 비틀기,몸통 비틀기,,낱개,준비운동:0.589;본운동:0.052;정리운동:0.359,19119,성인;어르신;유소년;유아기;청소년,,
나비자세,나비자세,나비자세,,낱개,준비운동:0.650;본운동:0.161;정리운동:0.189,18508,성인;어르신;유소년;유아기;청소년,,
앉아서다리펴기,앉아서 다리 펴기,앉아서 다리 펴기,,낱개,준비운동:0.032;본운동:0.896;정리운동:0.072,17696,성인;어르신;유아기;청소년,,
윗몸일으키기,윗몸 일으키기,윗몸 일으키기,,낱개,준비운동:0.054;본운동:0.944;정리운동:0.002,17578,성인;어르신;유소년;유아기;청소년,,
버피테스트,버피 테스트,버피 테스트,,낱개,준비운동:0.024;본운동:0.970;정리운동:0.006,16902,성인;어르신;유소년;유아기;청소년,,
흔들어체조,흔들어 체조,흔들어 체조,,묶음,준비운동:0.444;본운동:0.035;정리운동:0.521,16841,성인;어르신;유소년;유아기,,
