age_group,sex,age,grade,n,ratio
성인,F,19,1등급,472,0.0784
성인,F,19,2등급,798,0.1326
성인,F,19,3등급,1397,0.2321
성인,F,19,참가,1488,0.2472
성인,F,20,1등급,424,0.0838
성인,F,20,2등급,735,0.1452
성인,F,20,3등급,1211,0.2393
성인,F,20,참가,1295,0.2559
성인,F,21,1등급,403,0.0812
성인,F,21,2등급,830,0.1672
성인,F,21,3등급,1292,0.2603
성인,F,21,참가,1148,0.2313
성인,F,22,1등급,463,0.0723
성인,F,22,2등급,1160,0.1811
성인,F,22,3등급,1950,0.3044
성인,F,22,참가,1457,0.2274
성인,F,23,1등급,559,0.0722
성인,F,23,2등급,1374,0.1774
성인,F,23,3등급,2519,0.3252
성인,F,23,참가,1745,0.2252
성인,F,24,1등급,612,0.0731
성인,F,24,2등급,1516,0.1811
성인,F,24,3등급,2732,0.3263
성인,F,24,참가,1774,0.2119
성인,F,25,1등급,874,0.1258
성인,F,25,2등급,1506,0.2168
성인,F,25,3등급,2076,0.2989
성인,F,25,참가,1152,0.1659
성인,F,26,1등급,614,0.1194
성인,F,26,2등급,1197,0.2328
성인,F,26,3등급,1485,0.2889
성인,F,26,참가,784,0.1525
성인,F,27,1등급,446,0.1163
성인,F,27,2등급,792,0.2065
성인,F,27,3등급,1121,0.2923
성인,F,27,참가,585,0.1525
성인,F,28,1등급,351,0.1136
성인,F,28,2등급,624,0.2019
성인,F,28,3등급,801,0.2592
성인,F,28,참가,516,0.167
성인,F,29,1등급,238,0.0928
성인,F,29,2등급,512,0.1996
성인,F,29,3등급,651,0.2538
성인,F,29,참가,418,0.163
성인,F,30,1등급,237,0.1074
성인,F,30,2등급,435,0.1972
성인,F,30,3등급,550,0.2493
성인,F,30,참가,304,0.1378
성인,F,31,1등급,206,0.1078
성인,F,31,2등급,341,0.1784
성인,F,31,3등급,451,0.236
성인,F,31,참가,298,0.1559
성인,F,32,1등급,155,0.0917
성인,F,32,2등급,294,0.1739
성인,F,32,3등급,400,0.2365
성인,F,32,참가,285,0.1685
성인,F,33,1등급,170,0.1082
성인,F,33,2등급,249,0.1585
성인,F,33,3등급,378,0.2406
성인,F,33,참가,230,0.1464
성인,F,34,1등급,107,0.0782
성인,F,34,2등급,239,0.1747
성인,F,34,3등급,303,0.2215
성인,F,34,참가,224,0.1637
성인,F,35,1등급,113,0.0911
성인,F,35,2등급,240,0.1934
성인,F,35,3등급,258,0.2079
성인,F,35,참가,194,0.1563
성인,F,36,1등급,112,0.0914
성인,F,36,2등급,196,0.1599
성인,F,36,3등급,268,0.2186
성인,F,36,참가,209,0.1705
성인,F,37,1등급,116,0.0972
성인,F,37,2등급,174,0.1457
성인,F,37,3등급,259,0.2169
성인,F,37,참가,214,0.1792
성인,F,38,1등급,105,0.0859
성인,F,38,2등급,206,0.1684
성인,F,38,3등급,259,0.2118
성인,F,38,참가,204,0.1668
성인,F,39,1등급,96,0.0891
성인,F,39,2등급,147,0.1365
성인,F,39,3등급,223,0.2071
성인,F,39,참가,184,0.1708
성인,F,40,1등급,99,0.0835
성인,F,40,2등급,152,0.1282
성인,F,40,3등급,270,0.2277
성인,F,40,참가,196,0.1653
성인,F,41,1등급,93,0.073
성인,F,41,2등급,154,0.1209
성인,F,41,3등급,279,0.219
성인,F,41,참가,266,0.2088
성인,F,42,1등급,112,0.0765
성인,F,42,2등급,210,0.1434
성인,F,42,3등급,334,0.2281
성인,F,42,참가,264,0.1803
성인,F,43,1등급,113,0.0707
성인,F,43,2등급,231,0.1445
성인,F,43,3등급,320,0.2001
성인,F,43,참가,276,0.1726
성인,F,44,1등급,112,0.0702
성인,F,44,2등급,208,0.1304
성인,F,44,3등급,333,0.2088
성인,F,44,참가,339,0.2125
성인,F,45,1등급,127,0.0774
성인,F,45,2등급,239,0.1457
성인,F,45,3등급,346,0.211
성인,F,45,참가,306,0.1866
성인,F,46,1등급,105,0.0678
성인,F,46,2등급,234,0.1511
성인,F,46,3등급,322,0.2079
성인,F,46,참가,290,0.1872
성인,F,47,1등급,111,0.0773
성인,F,47,2등급,206,0.1435
성인,F,47,3등급,279,0.1943
성인,F,47,참가,282,0.1964
성인,F,48,1등급,99,0.0655
성인,F,48,2등급,227,0.1501
성인,F,48,3등급,305,0.2017
성인,F,48,참가,319,0.211
성인,F,49,1등급,93,0.0553
성인,F,49,2등급,249,0.148
성인,F,49,3등급,353,0.2097
성인,F,49,참가,383,0.2276
성인,F,50,1등급,162,0.0873
성인,F,50,2등급,282,0.1519
성인,F,50,3등급,388,0.2091
성인,F,50,참가,399,0.215
성인,F,51,1등급,181,0.0873
성인,F,51,2등급,310,0.1495
성인,F,51,3등급,393,0.1896
성인,F,51,참가,454,0.219
성인,F,52,1등급,144,0.0727
성인,F,52,2등급,276,0.1394
성인,F,52,3등급,374,0.1889
성인,F,52,참가,469,0.2369
성인,F,53,1등급,157,0.0711
성인,F,53,2등급,309,0.1399
성인,F,53,3등급,446,0.202
성인,F,53,참가,503,0.2278
성인,F,54,1등급,168,0.0674
성인,F,54,2등급,324,0.13
성인,F,54,3등급,497,0.1994
성인,F,54,참가,613,0.2459
성인,F,55,1등급,233,0.0918
성인,F,55,2등급,425,0.1675
성인,F,55,3등급,497,0.1958
성인,F,55,참가,538,0.212
성인,F,56,1등급,213,0.0867
성인,F,56,2등급,370,0.1506
성인,F,56,3등급,451,0.1836
성인,F,56,참가,498,0.2027
성인,F,57,1등급,170,0.0749
성인,F,57,2등급,328,0.1446
성인,F,57,3등급,428,0.1886
성인,F,57,참가,430,0.1895
성인,F,58,1등급,150,0.0739
성인,F,58,2등급,310,0.1527
성인,F,58,3등급,371,0.1828
성인,F,58,참가,425,0.2094
성인,F,59,1등급,128,0.066
성인,F,59,2등급,285,0.1471
성인,F,59,3등급,360,0.1858
성인,F,59,참가,422,0.2178
