age_group,sex,age_unit,age_lo,age_hi,grade,item_code,op,value,value2
유아기,M,개월,48,53,1등급,020,>=,48.0,0.0
유아기,M,개월,48,53,1등급,028,>=,49.3,0.0
유아기,M,개월,48,53,1등급,009,>=,4.0,0.0
유아기,M,개월,48,53,1등급,012,>=,13.0,0.0
유아기,M,개월,48,53,1등급,050,<=,11.06,0.0
유아기,M,개월,48,53,1등급,022,>=,86.0,0.0
유아기,M,개월,48,53,1등급,051,<=,31.53,0.0
유아기,M,개월,54,59,1등급,020,>=,59.0,0.0
유아기,M,개월,54,59,1등급,028,>=,52.9,0.0
유아기,M,개월,54,59,1등급,009,>=,5.0,0.0
유아기,M,개월,54,59,1등급,012,>=,13.0,0.0
유아기,M,개월,54,59,1등급,050,<=,9.88,0.0
유아기,M,개월,54,59,1등급,022,>=,97.0,0.0
유아기,M,개월,54,59,1등급,051,<=,26.28,0.0
유아기,M,개월,60,65,1등급,020,>=,63.0,0.0
유아기,M,개월,60,65,1등급,028,>=,53.8,0.0
유아기,M,개월,60,65,1등급,009,>=,9.0,0.0
유아기,M,개월,60,65,1등급,012,>=,12.0,0.0
유아기,M,개월,60,65,1등급,050,<=,9.46,0.0
유아기,M,개월,60,65,1등급,022,>=,105.0,0.0
유아기,M,개월,60,65,1등급,051,<=,23.21,0.0
유아기,M,개월,66,71,1등급,020,>=,78.0,0.0
유아기,M,개월,66,71,1등급,028,>=,54.1,0.0
유아기,M,개월,66,71,1등급,009,>=,9.0,0.0
유아기,M,개월,66,71,1등급,012,>=,13.0,0.0
유아기,M,개월,66,71,1등급,050,<=,9.13,0.0
유아기,M,개월,66,71,1등급,022,>=,110.0,0.0
유아기,M,개월,66,71,1등급,051,<=,22.48,0.0
유아기,M,개월,72,83,1등급,020,>=,93.0,0.0
유아기,M,개월,72,83,1등급,028,>=,56.3,0.0
유아기,M,개월,72,83,1등급,009,>=,13.0,0.0
유아기,M,개월,72,83,1등급,012,>=,12.5,0.0
유아기,M,개월,72,83,1등급,050,<=,8.8,0.0
유아기,M,개월,72,83,1등급,022,>=,118.0,0.0
유아기,M,개월,72,83,1등급,051,<=,21.37,0.0
유아기,F,개월,48,53,1등급,020,>=,49.0,0.0
유아기,F,개월,48,53,1등급,028,>=,44.3,0.0
유아기,F,개월,48,53,1등급,009,>=,2.0,0.0
유아기,F,개월,48,53,1등급,012,>=,14.3,0.0
유아기,F,개월,48,53,1등급,050,<=,11.06,0.0
유아기,F,개월,48,53,1등급,022,>=,83.0,0.0
유아기,F,개월,48,53,1등급,051,<=,30.72,0.0
유아기,F,개월,54,59,1등급,020,>=,62.0,0.0
유아기,F,개월,54,59,1등급,028,>=,51.1,0.0
유아기,F,개월,54,59,1등급,009,>=,5.0,0.0
유아기,F,개월,54,59,1등급,012,>=,14.3,0.0
유아기,F,개월,54,59,1등급,050,<=,10.21,0.0
유아기,F,개월,54,59,1등급,022,>=,90.0,0.0
유아기,F,개월,54,59,1등급,051,<=,26.76,0.0
유아기,F,개월,60,65,1등급,020,>=,67.0,0.0
유아기,F,개월,60,65,1등급,028,>=,48.9,0.0
유아기,F,개월,60,65,1등급,009,>=,8.0,0.0
유아기,F,개월,60,65,1등급,012,>=,14.0,0.0
유아기,F,개월,60,65,1등급,050,<=,10.31,0.0
유아기,F,개월,60,65,1등급,022,>=,95.0,0.0
유아기,F,개월,60,65,1등급,051,<=,25.04,0.0
유아기,F,개월,66,71,1등급,020,>=,73.0,0.0
유아기,F,개월,66,71,1등급,028,>=,53.7,0.0
유아기,F,개월,66,71,1등급,009,>=,10.0,0.0
유아기,F,개월,66,71,1등급,012,>=,15.0,0.0
유아기,F,개월,66,71,1등급,050,<=,9.58,0.0
유아기,F,개월,66,71,1등급,022,>=,103.0,0.0
유아기,F,개월,66,71,1등급,051,<=,23.21,0.0
유아기,F,개월,72,83,1등급,020,>=,84.0,0.0
유아기,F,개월,72,83,1등급,028,>=,51.9,0.0
유아기,F,개월,72,83,1등급,009,>=,13.0,0.0
유아기,F,개월,72,83,1등급,012,>=,15.0,0.0
유아기,F,개월,72,83,1등급,050,<=,9.19,0.0
유아기,F,개월,72,83,1등급,022,>=,106.0,0.0
유아기,F,개월,72,83,1등급,051,<=,21.91,0.0
유아기,M,개월,48,53,2등급,020,>=,35.0,0.0
유아기,M,개월,48,53,2등급,028,>=,41.4,0.0
유아기,M,개월,48,53,2등급,009,>=,0.0,0.0
유아기,M,개월,48,53,2등급,012,>=,10.7,0.0
유아기,M,개월,48,53,2등급,050,<=,11.73,0.0
유아기,M,개월,48,53,2등급,022,>=,76.0,0.0
유아기,M,개월,48,53,2등급,051,<=,33.5,0.0
유아기,M,개월,54,59,2등급,020,>=,44.0,0.0
유아기,M,개월,54,59,2등급,028,>=,46.1,0.0
유아기,M,개월,54,59,2등급,009,>=,1.0,0.0
