category,term,basis
증상,아파,docs/04 §4.1
증상,아프,docs/04 §4.1
증상,아픈,docs/04 §4.1
증상,아픔,docs/04 §4.1
증상,통증,docs/04 §4.1
증상,쑤신,docs/04 §4.1
증상,쑤셔,docs/04 §4.1
증상,저림,docs/04 §4.1
증상,저려,docs/04 §4.1
증상,저리,docs/04 §4.1
증상,붓기,docs/04 §4.1
증상,부었,docs/04 §4.1
증상,부어올,docs/04 §4.1
증상,시큰,docs/04 §4.1
증상,결려,docs/04 §4.1
증상,결림,docs/04 §4.1
증상,삐었,docs/04 §4.1
증상,삐어,docs/04 §4.1
증상,쥐가,docs/04 §4.1
증상,성장통,docs/04 §4.1
부상,부상,docs/04 §4.1
부상,다쳤,docs/04 §4.1
부상,다치,docs/04 §4.1
부상,다쳐,docs/04 §4.1
부상,골절,docs/04 §4.1
부상,인대,docs/04 §4.1
부상,파열,docs/04 §4.1
부상,염좌,docs/04 §4.1
부상,탈구,docs/04 §4.1
부상,디스크,docs/04 §4.1
부상,수술,docs/04 §4.1
부상,재활,docs/04 §4.1
부상,깁스,docs/04 §4.1
질환,질환,docs/04 §4.1
질환,질병,docs/04 §4.1
질환,염증,docs/04 §4.1
질환,관절염,docs/04 §4.1
질환,건염,docs/04 §4.1
질환,근막염,docs/04 §4.1
질환,협착,docs/04 §4.1
질환,당뇨,docs/04 §4.1
질환,고혈압,docs/04 §4.1
질환,심장병,docs/04 §4.1
질환,천식,docs/04 §4.1
질환,골다공증,docs/04 §4.1
질환,진단,docs/04 §4.1
질환,증후군,docs/04 §4.1
처치,병원,docs/04 §4.1
처치,의사,docs/04 §4.1
처치,한의원,docs/04 §4.1
처치,물리치료,docs/04 §4.1
처치,도수치료,docs/04 §4.1
처치,주사,docs/04 §4.1
처치,정형외과,docs/04 §4.1
처치,재활치료,docs/04 §4.1
처치,치료,docs/04 §4.1
처치,처치,docs/04 §4.1
약물,약물,docs/04 §4.1
약물,복용,docs/04 §4.1
약물,진통제,docs/04 §4.1
약물,소염제,docs/04 §4.1
약물,파스,docs/04 §4.1
약물,영양제,docs/04 §4.1
약물,보충제,docs/04 §4.1
약물,스테로이드,docs/04 §4.1
약물,처방약,docs/04 §4.1
