mission_id,exercise_id,exercise_name,video_id,start_sec,end_sec,url,video_age_group,targets,phase,common,best_rank,prescribed,cell_chunk_id,cell_citation_label,video_chunk_id,video_citation_label
1단줄넘기@,1단줄넘기,1단 줄넘기,,,,,,유소년-F;유소년-M,본운동,False,3,7921,prescription:유소년-12-F-본운동,국민체력100 운동처방 · 유소년 12세,,
2단줄넘기@,2단줄넘기,2단 줄넘기,,,,,,유소년-F,본운동,False,30,472,prescription:유소년-11-F-본운동,국민체력100 운동처방 · 유소년 11세,,
50M달리기@,50M달리기,50M 달리기,,,,,,유소년-F;유소년-M,본운동,False,23,1252,prescription:유소년-11-M-본운동,국민체력100 운동처방 · 유소년 11세,,
V자버티기@,V자버티기,V자 버티기,,,,,,유아기-F,본운동,False,25,8,prescription:유아기-80-F-본운동,국민체력100 운동처방 · 유아기 80개월,,
가슴스트레칭@,가슴스트레칭,가슴 스트레칭,,,,,,어르신-F;어르신-M;유아기-F;유아기-M,준비운동,False,1,8982,prescription:어르신-89-M-준비운동,국민체력100 운동처방 · 어르신 89세,,
가슴/어깨스트레칭@,가슴/어깨스트레칭,가슴/어깨 스트레칭,,,,,,어르신-F;어르신-M;유아기-M,정리운동,False,4,2526,prescription:어르신-85-M-정리운동,국민체력100 운동처방 · 어르신 85세,,
가슴/어깨앞쪽스트레칭@,가슴/어깨앞쪽스트레칭,가슴/어깨 앞쪽 스트레칭,,,,,,성인-F;성인-M;어르신-F;어르신-M;유아기-F;유아기-M;청소년-F;청소년-M,준비운동,False,3,30557,prescription:성인-20-F-준비운동,국민체력100 운동처방 · 성인 20세,,
거북이스트레칭@-EATykJOvBQ#6,거북이스트레칭,거북이 스트레칭,-EATykJOvBQ,6,76,https://www.youtube.com/watch?v=-EATykJOvBQ&t=6s,유아기,성인-F;어르신-F;어르신-M;유아기-F;유아기-M,준비운동,False,1,16183,prescription:유아기-48-F-준비운동,국민체력100 운동처방 · 유아기 48개월,video:-EATykJOvBQ,국민체력100 운동영상 · 🐢헤이지니와 함께 유아기 체력 쑥쑥 운동 | EP03.거북이 스트레칭
거북이스트레칭@5Crvk_HZPy8#152,거북이스트레칭,거북이 스트레칭,5Crvk_HZPy8,152,228,https://www.youtube.com/watch?v=5Crvk_HZPy8&t=152s,유아기,성인-F;어르신-F;어르신-M;유아기-F;유아기-M,준비운동,True,1,16183,prescription:유아기-48-F-준비운동,국민체력100 운동처방 · 유아기 48개월,video:5Crvk_HZPy8,국민체력100 운동영상 · 🦖유아기 체력 향상 (복합운동) | EP03.알록달록 붙여요! (20miin)
거북이스트레칭@9ejhpZjgtUA#152,거북이스트레칭,거북이 스트레칭,9ejhpZjgtUA,152,1052,https://www.youtube.com/watch?v=9ejhpZjgtUA&t=152s,유아기,성인-F;어르신-F;어르신-M;유아기-F;유아기-M,준비운동,True,1,16183,prescription:유아기-48-F-준비운동,국민체력100 운동처방 · 유아기 48개월,video:9ejhpZjgtUA,국민체력100 운동영상 · 🦖유아기 복합 지각능력  향상 활동 | EP01. 알맞게 놓아요! (25min)
거북이스트레칭@AN7gNF5QT1w#152,거북이스트레칭,거북이 스트레칭,AN7gNF5QT1w,152,228,https://www.youtube.com/watch?v=AN7gNF5QT1w&t=152s,유아기,성인-F;어르신-F;어르신-M;유아기-F;유아기-M,준비운동,True,1,16183,prescription:유아기-48-F-준비운동,국민체력100 운동처방 · 유아기 48개월,video:AN7gNF5QT1w,국민체력100 운동영상 · 🦖유아기 체력 향상 (복합운동) | EP02.불이야~!!! 소방훈련해요! (25miin)
거북이스트레칭@F983gS5mwJg#152,거북이스트레칭,거북이 스트레칭,F983gS5mwJg,152,938,https://www.youtube.com/watch?v=F983gS5mwJg&t=152s,유아기,성인-F;어르신-F;어르신-M;유아기-F;유아기-M,준비운동,True,1,16183,prescription:유아기-48-F-준비운동,국민체력100 운동처방 · 유아기 48개월,video:F983gS5mwJg,국민체력100 운동영상 · 🦖유아기 복합 지각능력  향상 활동 | EP02. 알록달록 길을 걸어요! (25min)
거북이스트레칭@GkoUyt8uIXA#152,거북이스트레칭,거북이 스트레칭,GkoUyt8uIXA,152,872,https://www.youtube.com/watch?v=GkoUyt8uIXA&t=152s,유아기,성인-F;어르신-F;어르신-M;유아기-F;유아기-M,준비운동,True,1,16183,prescription:유아기-48-F-준비운동,국민체력100 운동처방 · 유아기 48개월,video:GkoUyt8uIXA,국민체력100 운동영상 · 🦖유아기 복합 지각능력  향상 활동 | EP03. 끝까지 굴려요! 구릉구릉~~
거북이스트레칭@RBKylbKM78k#152,거북이스트레칭,거북이 스트레칭,RBKylbKM78k,152,228,https://www.youtube.com/watch?v=RBKylbKM78k&t=152s,유아기,성인-F;어르신-F;어르신-M;유아기-F;유아기-M,준비운동,True,1,16183,prescription:유아기-48-F-준비운동,국민체력100 운동처방 · 유아기 48개월,video:RBKylbKM78k,국민체력100 운동영상 · 🦖유아기 체력 향상 (복합운동) | EP04. 점핑점핑 해요! (25miin)
거북이스트레칭@Rt3tdifHbns#152,거북이스트레칭,거북이 스트레칭,Rt3tdifHbns,152,1116,https://www.youtube.com/watch?v=Rt3tdifHbns&t=152s,유아기,성인-F;어르신-F;어르신-M;유아기-F;유아기-M,준비운동,True,1,16183,prescription:유아기-48-F-준비운동,국민체력100 운동처방 · 유아기 48개월,video:Rt3tdifHbns,국민체력100 운동영상 · 🦖유아기 복합 운동기술 향상 | 수박나라로 떠나요! (심화편)
거북이스트레칭@_hdna4_9GYc#152,거북이스트레칭,거북이 스트레칭,_hdna4_9GYc,152,1158,https://www.youtube.com/watch?v=_hdna4_9GYc&t=152s,유아기,성인-F;어르신-F;어르신-M;유아기-F;유아기-M,준비운동,True,1,16183,prescription:유아기-48-F-준비운동,국민체력100 운동처방 · 유아기 48개월,video:_hdna4_9GYc,국민체력100 운동영상 · 🦖유아기 복합 운동기술 향상 | 체력왕이 되어요 (심화편)
거북이스트레칭@oX1HKGUBO5w#152,거북이스트레칭,거북이 스트레칭,oX1HKGUBO5w,152,228,https://www.youtube.com/watch?v=oX1HKGUBO5w&t=152s,유아기,성인-F;어르신-F;어르신-M;유아기-F;유아기-M,준비운동,True,1,16183,prescription:유아기-48-F-준비운동,국민체력100 운동처방 · 유아기 48개월,video:oX1HKGUBO5w,국민체력100 운동영상 · 🦖유아기 체력 향상 (복합운동) | EP01.동물처럼 걸어요 (20min)
거북이스트레칭@qk0hXbltmIQ#152,거북이스트레칭,거북이 스트레칭,qk0hXbltmIQ,152,1250,https://www.youtube.com/watch?v=qk0hXbltmIQ&t=152s,유아기,성인-F;어르신-F;어르신-M;유아기-F;유아기-M,준비운동,True,1,16183,prescription:유아기-48-F-준비운동,국민체력100 운동처방 · 유아기 48개월,video:qk0hXbltmIQ,국민체력100 운동영상 · 🦖유아기 복합 운동기술 향상 | 꽃게처럼 걸어요 (심화편)
걷기@qL76XIxD4Ds#30,걷기,걷기,qL76XIxD4Ds,30,122,https://www.youtube.com/watch?v=qL76XIxD4Ds&t=30s,유아기,성인-F;성인-M;어르신-F;어르신-M;유아기-F;유아기-M;청소년-F;청소년-M,본운동,False,2,65981,prescription:어르신-87-F-본운동,국민체력100 운동처방 · 어르신 87세,video:qL76XIxD4Ds,국민체력100 운동영상 · 🦖유아기 기본 운동기술 향상 | 균형있는 근육 발달을 위한 이동성 운동 (기초편)
결가부좌@,결가부좌,결가부좌,,,,,,청소년-F,정리운동,False,22,112,prescription:청소년-17-F-정리운동,국민체력100 운동처방 · 청소년 17세,,
