video_id,seq,name_on_video,phase_on_video,start_sec,end_sec,duration_sec
-EATykJOvBQ,1,거북이 스트레칭,,6,78,72
5Crvk_HZPy8,1,인사 체조,,8,74,66
5Crvk_HZPy8,2,흔들어 체조,,74,152,78
5Crvk_HZPy8,3,거북이 스트레칭,,152,226,74
5Crvk_HZPy8,4,알록달록 붙여요,,228,468,240
5Crvk_HZPy8,5,우리 모두 다 같이,,1038,1114,76
5Crvk_HZPy8,6,알록달록 붙여요,,1118,1326,208
5Crvk_HZPy8,7,거북이 스트레칭,,1328,1402,74
90YTJpUn91U,1,다양한 공을 쳐요,본운동,6,70,64
90YTJpUn91U,2,공을 던져 붙여요,본운동,76,130,54
90YTJpUn91U,3,다양한 공을 던져 넣어요,본운동,136,196,60
90YTJpUn91U,4,다양한 공을 쳐요,본운동,200,304,104
90YTJpUn91U,5,풍선 테니스 해요,본운동,310,374,64
90YTJpUn91U,6,캐치볼을 해요,본운동,380,446,66
90YTJpUn91U,7,다양한 공을 쳐요,본운동,450,610,160
9ejhpZjgtUA,1,인사 체조,,8,74,66
9ejhpZjgtUA,2,흔들어 체조,,74,152,78
9ejhpZjgtUA,3,거북이 스트레칭,,152,226,74
9ejhpZjgtUA,4,알맞게 놓아요,,228,468,240
9ejhpZjgtUA,5,우리 모두 다 같이,,1052,1128,76
9ejhpZjgtUA,6,알맞게 놓아요,,1132,1372,240
9ejhpZjgtUA,7,거북이 스트레칭,,1596,1668,72
A1CDVFUc_oU,1,굽혀서 이동해요,본운동,6,64,58
A1CDVFUc_oU,2,다양한 도구를 흔들어요,본운동,70,150,80
A1CDVFUc_oU,3,큰 비닐 흔들어요,본운동,156,230,74
A1CDVFUc_oU,4,균형을 잡아요,본운동,240,306,66
A1CDVFUc_oU,5,몸을 돌려요,본운동,310,408,98
AN7gNF5QT1w,1,인사 체조,,8,74,66
AN7gNF5QT1w,2,흔들어 체조,,74,152,78
AN7gNF5QT1w,3,거북이 스트레칭,,152,226,74
AN7gNF5QT1w,4,소방훈련해요,,228,468,240
AN7gNF5QT1w,5,우리 모두 다 같이,,984,1060,76
AN7gNF5QT1w,6,소방훈련해요,,1064,1304,240
AN7gNF5QT1w,7,거북이 스트레칭,,1564,1638,74
AW9qNySmp6I,1,앉았다 일어나며 뛰어오르기,,88,112,24
AW9qNySmp6I,2,봉 잡고 서서 가슴으로 끌어 내리기,,114,164,50
AW9qNySmp6I,3,제자리 무릎 올려 달리기,,166,190,24
AW9qNySmp6I,4,휴식,,192,252,60
AW9qNySmp6I,5,앉았다 일어나며 뛰어오르기,,256,278,22
AW9qNySmp6I,6,봉 잡고 서서 가슴으로 끌어 내리기,,282,330,48
AW9qNySmp6I,7,제자리 무릎 올려 달리기,,332,358,26
AW9qNySmp6I,8,휴식,,358,418,60
AW9qNySmp6I,9,앉았다 일어나며 뛰어오르기,,422,446,24
AW9qNySmp6I,10,봉 잡고 서서 가슴으로 끌어 내리기,,448,496,48
AW9qNySmp6I,11,제자리 무릎 올려 달리기,,498,524,26
AW9qNySmp6I,12,휴식,,526,586,60
AW9qNySmp6I,13,스틱잡고 상체 숙이고 일으키기,,590,666,76
AW9qNySmp6I,14,스틱잡고 상체 옆으로 숙이기,,668,760,92
AW9qNySmp6I,15,박스 위로 뛰어 오르고 내리며 쪼그려 앉기,,762,796,34
AW9qNySmp6I,16,휴식,,798,858,60
AW9qNySmp6I,17,스틱잡고 상체 숙이고 일으키기,,864,936,72
AW9qNySmp6I,18,스틱잡고 상체 옆으로 숙이기,,942,1030,88
AW9qNySmp6I,19,박스 위로 뛰어 오르고 내리며 쪼그려 앉기,,1034,1066,32
AW9qNySmp6I,20,휴식,,1070,1130,60
AW9qNySmp6I,21,스틱잡고 상체 숙이고 일으키기,,1136,1210,74
AW9qNySmp6I,22,스틱잡고 상체 옆으로 숙이기,,1214,1304,90
AW9qNySmp6I,23,박스 위로 뛰어 오르고 내리며 쪼그려 앉기,,1308,1338,30
AW9qNySmp6I,24,휴식,본운동,1342,1402,60
B2Cvy5bmEyM,1,누워서 목 들어 이마 밀어 버티기,,106,166,60
B2Cvy5bmEyM,2,T-W-Y-A,,168,278,110
B2Cvy5bmEyM,3,앉아서 어깨 올리고 내리기,,284,324,40
B2Cvy5bmEyM,4,누워서 몸통 비틀기,,328,410,82
B2Cvy5bmEyM,5,휴식,,420,480,60
B2Cvy5bmEyM,6,누워서 목 들어 이마 밀어 버티기,,492,552,60
B2Cvy5bmEyM,7,T-W-Y-A,,558,672,114
B2Cvy5bmEyM,8,앉아서 어깨 올리고 내리기,,682,718,36
B2Cvy5bmEyM,9,누워서 몸통 비틀기,,724,800,76
B2Cvy5bmEyM,10,휴식,,806,872,66
B2Cvy5bmEyM,11,양팔 벌려 가슴 내밀기,,878,934,56
B2Cvy5bmEyM,12,누워서 밴드 다리 걸고 올리기,,938,1150,212
B2Cvy5bmEyM,13,"엎드려 버티기, 옆으로 버티기, 누워서 엉덩이 들기",,1158,1236,78
B2Cvy5bmEyM,14,휴식,,1244,1310,66
