video_id,start_sec,end_sec,label_end_sec,gap_sec,duration_sec,length_basis,last,exercise_name,age_group,source,common,evidence_text,chunk_id,citation_label,url
-EATykJOvBQ,6,76,76,0,70,label_end,True,거북이 스트레칭,유아기,title,False,🐢헤이지니와 함께 유아기 체력 쑥쑥 운동 | EP03.거북이 스트레칭,video:-EATykJOvBQ,국민체력100 운동영상 · 🐢헤이지니와 함께 유아기 체력 쑥쑥 운동 | EP03.거북이 스트레칭,https://www.youtube.com/watch?v=-EATykJOvBQ&t=6s
5Crvk_HZPy8,8,74,72,2,66,next_start,False,인사 체조,유아기,screen,True,00:08 인사 체조,video:5Crvk_HZPy8,국민체력100 운동영상 · 🦖유아기 체력 향상 (복합운동) | EP03.알록달록 붙여요! (20miin),https://www.youtube.com/watch?v=5Crvk_HZPy8&t=8s
5Crvk_HZPy8,74,152,150,2,78,next_start,False,흔들어 체조,유아기,screen,True,01:14 흔들어 체조,video:5Crvk_HZPy8,국민체력100 운동영상 · 🦖유아기 체력 향상 (복합운동) | EP03.알록달록 붙여요! (20miin),https://www.youtube.com/watch?v=5Crvk_HZPy8&t=74s
5Crvk_HZPy8,152,228,224,4,76,next_start,False,거북이 스트레칭,유아기,screen,True,02:32 거북이 스트레칭,video:5Crvk_HZPy8,국민체력100 운동영상 · 🦖유아기 체력 향상 (복합운동) | EP03.알록달록 붙여요! (20miin),https://www.youtube.com/watch?v=5Crvk_HZPy8&t=152s
5Crvk_HZPy8,228,1038,1034,4,810,next_start,False,알록달록 붙여요,유아기,title,False,🦖유아기 체력 향상 (복합운동) | EP03.알록달록 붙여요! (20miin),video:5Crvk_HZPy8,국민체력100 운동영상 · 🦖유아기 체력 향상 (복합운동) | EP03.알록달록 붙여요! (20miin),https://www.youtube.com/watch?v=5Crvk_HZPy8&t=228s
5Crvk_HZPy8,1038,1112,1112,0,74,label_end,True,우리 모두 다같이,유아기,screen,True,17:18 우리 모두 다 같이,video:5Crvk_HZPy8,국민체력100 운동영상 · 🦖유아기 체력 향상 (복합운동) | EP03.알록달록 붙여요! (20miin),https://www.youtube.com/watch?v=5Crvk_HZPy8&t=1038s
9ejhpZjgtUA,8,74,72,2,66,next_start,False,인사 체조,유아기,screen,True,00:08 인사 체조,video:9ejhpZjgtUA,국민체력100 운동영상 · 🦖유아기 복합 지각능력  향상 활동 | EP01. 알맞게 놓아요! (25min),https://www.youtube.com/watch?v=9ejhpZjgtUA&t=8s
9ejhpZjgtUA,74,152,150,2,78,next_start,False,흔들어 체조,유아기,screen,True,01:14 흔들어 체조,video:9ejhpZjgtUA,국민체력100 운동영상 · 🦖유아기 복합 지각능력  향상 활동 | EP01. 알맞게 놓아요! (25min),https://www.youtube.com/watch?v=9ejhpZjgtUA&t=74s
9ejhpZjgtUA,152,1052,224,828,900,next_start,False,거북이 스트레칭,유아기,screen,True,02:32 거북이 스트레칭,video:9ejhpZjgtUA,국민체력100 운동영상 · 🦖유아기 복합 지각능력  향상 활동 | EP01. 알맞게 놓아요! (25min),https://www.youtube.com/watch?v=9ejhpZjgtUA&t=152s
9ejhpZjgtUA,1052,1126,1126,0,74,label_end,True,우리 모두 다같이,유아기,screen,True,17:32 우리 모두 다 같이,video:9ejhpZjgtUA,국민체력100 운동영상 · 🦖유아기 복합 지각능력  향상 활동 | EP01. 알맞게 놓아요! (25min),https://www.youtube.com/watch?v=9ejhpZjgtUA&t=1052s
AN7gNF5QT1w,8,74,72,2,66,next_start,False,인사 체조,유아기,screen,True,00:08 인사 체조,video:AN7gNF5QT1w,국민체력100 운동영상 · 🦖유아기 체력 향상 (복합운동) | EP02.불이야~!!! 소방훈련해요! (25miin),https://www.youtube.com/watch?v=AN7gNF5QT1w&t=8s
AN7gNF5QT1w,74,152,150,2,78,next_start,False,흔들어 체조,유아기,screen,True,01:14 흔들어 체조,video:AN7gNF5QT1w,국민체력100 운동영상 · 🦖유아기 체력 향상 (복합운동) | EP02.불이야~!!! 소방훈련해요! (25miin),https://www.youtube.com/watch?v=AN7gNF5QT1w&t=74s
AN7gNF5QT1w,152,228,224,4,76,next_start,False,거북이 스트레칭,유아기,screen,True,02:32 거북이 스트레칭,video:AN7gNF5QT1w,국민체력100 운동영상 · 🦖유아기 체력 향상 (복합운동) | EP02.불이야~!!! 소방훈련해요! (25miin),https://www.youtube.com/watch?v=AN7gNF5QT1w&t=152s
AN7gNF5QT1w,228,984,978,6,756,next_start,False,소방훈련 해요,유아기,title,False,🦖유아기 체력 향상 (복합운동) | EP02.불이야~!!! 소방훈련해요! (25miin),video:AN7gNF5QT1w,국민체력100 운동영상 · 🦖유아기 체력 향상 (복합운동) | EP02.불이야~!!! 소방훈련해요! (25miin),https://www.youtube.com/watch?v=AN7gNF5QT1w&t=228s
AN7gNF5QT1w,984,1058,1058,0,74,label_end,True,우리 모두 다같이,유아기,screen,True,16:24 우리 모두 다 같이,video:AN7gNF5QT1w,국민체력100 운동영상 · 🦖유아기 체력 향상 (복합운동) | EP02.불이야~!!! 소방훈련해요! (25miin),https://www.youtube.com/watch?v=AN7gNF5QT1w&t=984s
Eg3GpTv7z8s,144,188,180,8,44,next_start,False,나비자세,유소년,screen_bar,True,02:24 넙다리 안쪽 늘리기 (나비자세),video:Eg3GpTv7z8s,국민체력100 운동영상 · [👦🏻유소년] 성장기 학생들을 위한 근력 운동 프로그램 (30min),https://www.youtube.com/watch?v=Eg3GpTv7z8s&t=144s
Eg3GpTv7z8s,188,230,224,6,42,next_start,False,척추 들어올리기,유소년,screen_bar,True,03:08 척추 들어올리기 (고양이자세),video:Eg3GpTv7z8s,국민체력100 운동영상 · [👦🏻유소년] 성장기 학생들을 위한 근력 운동 프로그램 (30min),https://www.youtube.com/watch?v=Eg3GpTv7z8s&t=188s
Eg3GpTv7z8s,230,330,268,62,100,next_start,False,아기자세,유소년,screen_bar,True,03:50 엎드려 어깨 눌러주기 (아기자세),video:Eg3GpTv7z8s,국민체력100 운동영상 · [👦🏻유소년] 성장기 학생들을 위한 근력 운동 프로그램 (30min),https://www.youtube.com/watch?v=Eg3GpTv7z8s&t=230s
Eg3GpTv7z8s,330,1594,380,1214,1264,next_start,False,다리뻗어 상체 숙이기,유소년,screen_bar,True,05:30 다리 뻗어 상체 숙이기,video:Eg3GpTv7z8s,국민체력100 운동영상 · [👦🏻유소년] 성장기 학생들을 위한 근력 운동 프로그램 (30min),https://www.youtube.com/watch?v=Eg3GpTv7z8s&t=330s
Eg3GpTv7z8s,1594,1746,1614,132,152,next_start,False,엎드려 상체 들어올리기,유소년,screen_bar,True,26:34 엎드려 상체 들어올리기,video:Eg3GpTv7z8s,국민체력100 운동영상 · [👦🏻유소년] 성장기 학생들을 위한 근력 운동 프로그램 (30min),https://www.youtube.com/watch?v=Eg3GpTv7z8s&t=1594s
Eg3GpTv7z8s,1746,1764,1764,0,18,label_end,True,양팔 벌려 전신 비틀기,유소년,screen_bar,True,29:06 양팔 벌려 전신 비틀기,video:Eg3GpTv7z8s,국민체력100 운동영상 · [👦🏻유소년] 성장기 학생들을 위한 근력 운동 프로그램 (30min),https://www.youtube.com/watch?v=Eg3GpTv7z8s&t=1746s
F983gS5mwJg,8,74,72,2,66,next_start,False,인사 체조,유아기,screen,True,00:08 인사 체조,video:F983gS5mwJg,국민체력100 운동영상 · 🦖유아기 복합 지각능력  향상 활동 | EP02. 알록달록 길을 걸어요! (25min),https://www.youtube.com/watch?v=F983gS5mwJg&t=8s
F983gS5mwJg,74,152,150,2,78,next_start,False,흔들어 체조,유아기,screen,True,01:14 흔들어 체조,video:F983gS5mwJg,국민체력100 운동영상 · 🦖유아기 복합 지각능력  향상 활동 | EP02. 알록달록 길을 걸어요! (25min),https://www.youtube.com/watch?v=F983gS5mwJg&t=74s
F983gS5mwJg,152,938,224,714,786,next_start,False,거북이 스트레칭,유아기,screen,True,02:32 거북이 스트레칭,video:F983gS5mwJg,국민체력100 운동영상 · 🦖유아기 복합 지각능력  향상 활동 | EP02. 알록달록 길을 걸어요! (25min),https://www.youtube.com/watch?v=F983gS5mwJg&t=152s
F983gS5mwJg,938,1012,1012,0,74,label_end,True,우리 모두 다같이,유아기,screen,True,15:38 우리 모두 다 같이,video:F983gS5mwJg,국민체력100 운동영상 · 🦖유아기 복합 지각능력  향상 활동 | EP02. 알록달록 길을 걸어요! (25min),https://www.youtube.com/watch?v=F983gS5mwJg&t=938s
GkoUyt8uIXA,8,74,72,2,66,next_start,False,인사 체조,유아기,screen,True,00:08 인사 체조,video:GkoUyt8uIXA,국민체력100 운동영상 · 🦖유아기 복합 지각능력  향상 활동 | EP03. 끝까지 굴려요! 구릉구릉~~,https://www.youtube.com/watch?v=GkoUyt8uIXA&t=8s
GkoUyt8uIXA,74,152,150,2,78,next_start,False,흔들어 체조,유아기,screen,True,01:14 흔들어 체조,video:GkoUyt8uIXA,국민체력100 운동영상 · 🦖유아기 복합 지각능력  향상 활동 | EP03. 끝까지 굴려요! 구릉구릉~~,https://www.youtube.com/watch?v=GkoUyt8uIXA&t=74s
GkoUyt8uIXA,152,872,224,648,720,next_start,False,거북이 스트레칭,유아기,screen,True,02:32 거북이 스트레칭,video:GkoUyt8uIXA,국민체력100 운동영상 · 🦖유아기 복합 지각능력  향상 활동 | EP03. 끝까지 굴려요! 구릉구릉~~,https://www.youtube.com/watch?v=GkoUyt8uIXA&t=152s
GkoUyt8uIXA,872,948,948,0,76,label_end,True,우리 모두 다같이,유아기,screen,True,14:32 우리 모두 다 같이,video:GkoUyt8uIXA,국민체력100 운동영상 · 🦖유아기 복합 지각능력  향상 활동 | EP03. 끝까지 굴려요! 구릉구릉~~,https://www.youtube.com/watch?v=GkoUyt8uIXA&t=872s
HYl0oA1Ptyw,118,160,154,6,42,next_start,False,나비자세,청소년,screen_bar,True,01:58 넙다리 안쪽 늘리기 (나비자세),video:HYl0oA1Ptyw,국민체력100 운동영상 · [👩🏻‍🎓청소년] 중고등학생 체력향상 운동프로그램 (30min),https://www.youtube.com/watch?v=HYl0oA1Ptyw&t=118s
HYl0oA1Ptyw,160,204,196,8,44,next_start,False,척추 들어올리기,청소년,screen_bar,True,02:40 척추 들어올리기 (고양이자세),video:HYl0oA1Ptyw,국민체력100 운동영상 · [👩🏻‍🎓청소년] 중고등학생 체력향상 운동프로그램 (30min),https://www.youtube.com/watch?v=HYl0oA1Ptyw&t=160s
HYl0oA1Ptyw,204,302,242,60,98,next_start,False,아기자세,청소년,screen_bar,True,03:24 엎드려 어깨 눌러주기 (아기자세),video:HYl0oA1Ptyw,국민체력100 운동영상 · [👩🏻‍🎓청소년] 중고등학생 체력향상 운동프로그램 (30min),https://www.youtube.com/watch?v=HYl0oA1Ptyw&t=204s
HYl0oA1Ptyw,302,574,352,222,272,next_start,False,다리뻗어 상체 숙이기,청소년,screen_bar,True,05:02 다리 뻗어 상체 숙이기,video:HYl0oA1Ptyw,국민체력100 운동영상 · [👩🏻‍🎓청소년] 중고등학생 체력향상 운동프로그램 (30min),https://www.youtube.com/watch?v=HYl0oA1Ptyw&t=302s
HYl0oA1Ptyw,574,2124,600,1524,1550,next_start,False,왕복달리기,청소년,screen_bar,False,09:34 왕복 달리기,video:HYl0oA1Ptyw,국민체력100 운동영상 · [👩🏻‍🎓청소년] 중고등학생 체력향상 운동프로그램 (30min),https://www.youtube.com/watch?v=HYl0oA1Ptyw&t=574s
HYl0oA1Ptyw,2124,2276,2144,132,152,next_start,False,엎드려 상체 들어올리기,청소년,screen_bar,True,35:24 엎드려 상체 들어올리기,video:HYl0oA1Ptyw,국민체력100 운동영상 · [👩🏻‍🎓청소년] 중고등학생 체력향상 운동프로그램 (30min),https://www.youtube.com/watch?v=HYl0oA1Ptyw&t=2124s
HYl0oA1Ptyw,2276,2294,2294,0,18,label_end,True,양팔 벌려 전신 비틀기,청소년,screen_bar,True,37:56 양팔 벌려 전신 비틀기,video:HYl0oA1Ptyw,국민체력100 운동영상 · [👩🏻‍🎓청소년] 중고등학생 체력향상 운동프로그램 (30min),https://www.youtube.com/watch?v=HYl0oA1Ptyw&t=2276s
IdpXx2gm90o,198,248,248,0,50,label_end,True,팔벌려뛰기,유소년,screen,False,03:18 팔 벌려 뛰기,video:IdpXx2gm90o,국민체력100 운동영상 · 초등학생의 기초체력향상과 운동능력발달을 위한 운동! 같이해봐요! #국민체력100 #유소년 #어린이운동,https://www.youtube.com/watch?v=IdpXx2gm90o&t=198s
IfV5H7USgaA,326,372,372,0,46,label_end,True,엉금엉금 기어요,유아기,screen,True,05:26 6. 엉금엉금 기어요,video:IfV5H7USgaA,국민체력100 운동영상 · 🦖유아기 기초체력 향상 체조 | 대근육 발달 근력/근지구력 운동 (8min),https://www.youtube.com/watch?v=IfV5H7USgaA&t=326s
OpnELu5j4nk,112,224,158,66,112,next_start,False,어깨 스트레칭,유아기,screen,False,01:52 2. 어깨 스트레칭 해요,video:OpnELu5j4nk,국민체력100 운동영상 · 🦖유아기 기초체력 향상 체조 | 성장기 말랑말랑 유연성 발달 운동 (10min),https://www.youtube.com/watch?v=OpnELu5j4nk&t=112s
OpnELu5j4nk,224,330,316,14,106,next_start,False,목 스트레칭,유아기,screen,False,03:44 3. 목 스트레칭 해요,video:OpnELu5j4nk,국민체력100 운동영상 · 🦖유아기 기초체력 향상 체조 | 성장기 말랑말랑 유연성 발달 운동 (10min),https://www.youtube.com/watch?v=OpnELu5j4nk&t=224s
OpnELu5j4nk,330,346,346,0,16,label_end,True,허리 스트레칭,유아기,screen,False,05:30 4. 허리 스트레칭 해요,video:OpnELu5j4nk,국민체력100 운동영상 · 🦖유아기 기초체력 향상 체조 | 성장기 말랑말랑 유연성 발달 운동 (10min),https://www.youtube.com/watch?v=OpnELu5j4nk&t=330s
OxtY_hEQzIM,6,104,98,6,98,next_start,False,밴드를 당겨요,유아기,screen,False,00:06 밴드를 당겨요,video:OxtY_hEQzIM,국민체력100 운동영상 · 🦖유아기 기초체력 향상 체조 | 대근육 발달 근력/근지구력 운동 응용동작 (7min),https://www.youtube.com/watch?v=OxtY_hEQzIM&t=6s
OxtY_hEQzIM,104,158,152,6,54,next_start,False,빌리보를 밀어요,유아기,screen,False,01:44 빌리보를 밀어요,video:OxtY_hEQzIM,국민체력100 운동영상 · 🦖유아기 기초체력 향상 체조 | 대근육 발달 근력/근지구력 운동 응용동작 (7min),https://www.youtube.com/watch?v=OxtY_hEQzIM&t=104s
OxtY_hEQzIM,158,228,222,6,70,next_start,False,끌어요 당겨요,유아기,screen,False,02:38 끌어요 당겨요,video:OxtY_hEQzIM,국민체력100 운동영상 · 🦖유아기 기초체력 향상 체조 | 대근육 발달 근력/근지구력 운동 응용동작 (7min),https://www.youtube.com/watch?v=OxtY_hEQzIM&t=158s
OxtY_hEQzIM,228,294,286,8,66,next_start,False,엉금엉금 기어요,유아기,screen,True,03:48 엉금엉금 기어요,video:OxtY_hEQzIM,국민체력100 운동영상 · 🦖유아기 기초체력 향상 체조 | 대근육 발달 근력/근지구력 운동 응용동작 (7min),https://www.youtube.com/watch?v=OxtY_hEQzIM&t=228s
OxtY_hEQzIM,294,392,384,8,98,next_start,False,영차영차 올라요,유아기,screen,False,04:54 영차영차 올라요,video:OxtY_hEQzIM,국민체력100 운동영상 · 🦖유아기 기초체력 향상 체조 | 대근육 발달 근력/근지구력 운동 응용동작 (7min),https://www.youtube.com/watch?v=OxtY_hEQzIM&t=294s
OxtY_hEQzIM,392,454,454,0,62,label_end,True,윗몸 말며 공을 전달해요,유아기,screen,False,06:32 윗몸 말며 공을 전달해요,video:OxtY_hEQzIM,국민체력100 운동영상 · 🦖유아기 기초체력 향상 체조 | 대근육 발달 근력/근지구력 운동 응용동작 (7min),https://www.youtube.com/watch?v=OxtY_hEQzIM&t=392s
P6UZsc2YqEM,14,130,40,90,116,next_start,False,뽁뽁이를 눌러요,유아기,screen,False,00:14 뽁뽁이를 눌러요(손가락),video:P6UZsc2YqEM,국민체력100 운동영상 · 🦖유아기 기초체력 향상 체조 | 소근육 발달 협응성 향상 운동 응용동작 (5min),https://www.youtube.com/watch?v=P6UZsc2YqEM&t=14s
P6UZsc2YqEM,130,214,214,0,84,label_end,True,딩딩링을 끼워요,유아기,screen,False,02:10 딩딩링을 끼워요,video:P6UZsc2YqEM,국민체력100 운동영상 · 🦖유아기 기초체력 향상 체조 | 소근육 발달 협응성 향상 운동 응용동작 (5min),https://www.youtube.com/watch?v=P6UZsc2YqEM&t=130s
RBKylbKM78k,8,74,72,2,66,next_start,False,인사 체조,유아기,screen,True,00:08 인사 체조,video:RBKylbKM78k,국민체력100 운동영상 · 🦖유아기 체력 향상 (복합운동) | EP04. 점핑점핑 해요! (25miin),https://www.youtube.com/watch?v=RBKylbKM78k&t=8s
RBKylbKM78k,74,152,150,2,78,next_start,False,흔들어 체조,유아기,screen,True,01:14 흔들어 체조,video:RBKylbKM78k,국민체력100 운동영상 · 🦖유아기 체력 향상 (복합운동) | EP04. 점핑점핑 해요! (25miin),https://www.youtube.com/watch?v=RBKylbKM78k&t=74s
RBKylbKM78k,152,228,224,4,76,next_start,False,거북이 스트레칭,유아기,screen,True,02:32 거북이 스트레칭,video:RBKylbKM78k,국민체력100 운동영상 · 🦖유아기 체력 향상 (복합운동) | EP04. 점핑점핑 해요! (25miin),https://www.youtube.com/watch?v=RBKylbKM78k&t=152s
RBKylbKM78k,228,1198,1192,6,970,next_start,False,점핑점핑해요,유아기,title,False,🦖유아기 체력 향상 (복합운동) | EP04. 점핑점핑 해요! (25miin),video:RBKylbKM78k,국민체력100 운동영상 · 🦖유아기 체력 향상 (복합운동) | EP04. 점핑점핑 해요! (25miin),https://www.youtube.com/watch?v=RBKylbKM78k&t=228s
RBKylbKM78k,1198,1272,1272,0,74,label_end,True,우리 모두 다같이,유아기,screen,True,19:58 우리 모두 다 같이,video:RBKylbKM78k,국민체력100 운동영상 · 🦖유아기 체력 향상 (복합운동) | EP04. 점핑점핑 해요! (25miin),https://www.youtube.com/watch?v=RBKylbKM78k&t=1198s
Rt3tdifHbns,8,74,72,2,66,next_start,False,인사 체조,유아기,screen,True,00:08 인사 체조,video:Rt3tdifHbns,국민체력100 운동영상 · 🦖유아기 복합 운동기술 향상 | 수박나라로 떠나요! (심화편),https://www.youtube.com/watch?v=Rt3tdifHbns&t=8s
